,song,year,album,genre,artist,lyric
0,"1,2, 1,2",2015,Fly International Luxurious Art (2015),,Raekwon,"(Raekwon)
If I ain't rockin' emeralds and Bentleys, I'm coolin' in Poughkeepsie Me, shorty, new Glock 40, and some bent weed
Ridin' the married boots, take care of me, sincerely
I'm Israeli, machettes is cris, swish some Baileys
Snuggled up, mink on, call it a cover up
Just like two murders in the hood, I'mma double up
The rap surgeon fix the game up, crack merchant
Everything I sell is well, my shit is that worthy
GATs that come up out the ceiling with the beam on it
Chinese Queen, Parasuco jeans on her
Rock long jeans, known for throwing blings on her
I stay king, by any means scream on it nigga
Come on, let's go nigga
Word up, close the door to the Aston nigga
Yo, get out the, take that shit out the ash tray man
(Snoop Dogg)
Do you remember a real gang member?
Choppin' till he timber, December to December
Never stoppin', too busy poppin' off lead in the heat
Clownin' ass all around him, they crown him the Dogg Father
Glock hot, crock pot on the block with a chef
Out of bounds on the grounds with a hole in your chest
Invest in back in feedback, gorilla the west
Take a whiff of me, spliff, till it fill up my chest
Convertible with the Cadillac, mackin' the mack
With some Roscoe's Chicken in my lap, imagine that
I'm groovin' down Sunset Boulevard
No harm, no foul, no body guard
Yo, stop right there man
You don't know what you're doin' man
Chill, chill, let them handle that man for real
(Raekwon)
Chill yo, the movie is scary
Take off the sheep skin shotty
Nigga make a move, and don't dare me
I'm blessed with these million dollar hands, I'm like poker
Niggas screw they motherfuckin' face, so what?
Guns are collected, flips perfected
Boats flying in, every brake's inspected
The clique's connected, everybody wrist and neck lit
Two shots of Cisco, let's slip
Post like Scarface and Sosa with my memosa
All that motion, see my billiongs posted and roastin'
See my villains most of them roastin'
Freshmen chickens get close in 'em
Make one move, she buyin' me the Ghost in it
Pass the dutchie
You know what it do man
We in Wonderland huh
(Snoop Dogg)
Stealth but get loud like a space shuttle
Catch a case, a motherfuckers got a place for you
And it's 100 brothers like you that's cold with the Typhoo
Slang and things and buck 50 with the jinzu
Draw that line, flip that dime, spit that nine
Homie this Crip on mine
Thought you knew
We cold crushin' bum rush the chef, it's my nephew
The king of the west too, niggas to test you
Let your next move be your best move
Ja bless you
1,2 1,2 what you gone do when we come through?
1,2 1,2"
1,10 Bricks,2009,Only Built 4 Cuban Linx... Pt. II (2009),,Raekwon,"(Intro: Raekwon)
Yo, yo, Iron Chef (gracias)
I need some of that, (slide through the back)
I need y'all to come back to the, (I heard juice)
Back of the store over here (just be easy and tell ya man to be cool)
We got some culinary cats right here, we need you (we'll kill him if he
Fault)
(Raekwon)
Ayo, rappers stepping to me, they want a brick, son
But I'm the Chef, my price is 26, son
Move up, about 32 of those and open locker dough
Soldier got locked up, blow killed the doctor
Flamboyant police is X fives, watching my lofts
So many leeches I just left it and walked
My flow wicked, Miami money, moving and ridicly
Geico on the arm froze, rose gold with me
Take baths with white women, lingerie see-through
Taking trips to Iran, my Spanish nigga people
Selling drugs to Flatbush, call my nigga Cecil
Snub with the black gloves, on half-moon Greek do
Killed him in the Bahamas, his wife ran, white van pulled up
They caught him out in Brooklyn with a white man
Slutted out, rosed out, sister was gone, she geeking
She threw the rifle in her mouth and said 'good evening'
Yup, Paul Wall grill line, be getting money, crime thief
I know her from Africa, pretty smile, nine teeth
Gold joints, frames only, Louis Vuitton, Pony
Leather with the matching sweater on, you owe me
(Chorus: Raekwon)
Knock the ash off the blunt, confront niggas who cunt
Swing an ax, tax niggas rhyme different from cats
Specialize in mic rippers, splashes
We the last skippers, big rocks and the block will stick
(Cappadonna)
Beefsteak Charlie niggas eat and they get fat
Chase heads up and down the block and kill rats
Skilled with the gats, even feds don't know where the shells at
The shell trapped up in nice crib with four packs
Four macs, caught a nice cell for four stacks
Yeah, me and my nigga Arafat
Gotta escape but we'll be right back, real soon
Chef cook it up, we got a date with real goons
Telling you Ghost, my connect crazy with the wreck
Pythons used to talk to her sister named Yvette
I speed it up, me and the Linx, was getting weeded up
I beat it up, yeah I hit that, but I ain't seed it up
Meanwhile, back on the block, we seen two trucks
Then the windows rolled down, we see these two fucks
Soon as they jumped out, see these tools bust
(Ghostface Killah)
Yo, I lit a booger up, rocks is gone, so we bagging up all shape
Binoculars, scanners, we all listen to jake
Ran out of baggies, my mouth is dry
Got them dirty joints all scattered, don't act surprised
Nah, nigga the currency rushes like popping a wheelie
Holding a pipe with one hand, the other down in the Bentleys
You know how it be with the peppermint Clarks
Throwing darts at a hoodrat
Getting slow necked all up in The Bronx
That's all me, thirty four shines, forty four lines
I just chill like Aaron Hall, writing raw rhymes
Like, threw Kool-Aid rubies in a lemonade bezel
When I was 12 in the church, I started packing that metal
A deuce deuce, my supplier was Loose Bruce
Ever since I had the drop, my instinct was to shoot-shoot
This ain't For the Love of Ray J, it's for the love of the AK
'Cause you can get scratched like AJ
Cuban Link Dynasty has emerged, this rap shit stop
I have a team of niggas moving my furs"
2,100 Rounds,1999,Immobilarity (1999),,Raekwon,"Man: Yo
What up D? Huh?
You bought that from Tower Records?
What's that, let me see that bag
Get the fuck off, get the fuck off it
Come here man, what the fuck I...(banging)
Like that nigga, give me that man
You dead on this purple tape nigga you dead on that
Fuck outta here (gun cock)
Raekwon: Niggas think I can't sell five million?
Y'all niggas is mad
Y'all must not know the work I put in on this
For real, that's for real for real (ha ha)
Represent, flick it up all day nigga, Immobilarity
Y'all know my work, this category is raw
(Raekwon)
Aiyo slash your position
Verbal mike physician
Blow lines like chimes in the kitchen
God should vega, straight up stomp that fake out
What, he biting everything, biting his nuts
We slang like champions
Caught me in the outlet in Hamptons
Style it out
Throwin' four thousand out
Swimsuit mammal get high
Float flammable
Drop off in a Benz boat lampable
Rear like hittin a deer
Playin' Cuban Linx movin in the chair, he got a ear
No question all brolic guerillas stand up
Whoever large throw a hand up
Throw a grand up
Let's like multiply
Con-nect both sides, big shit low rides, ga-lide
Everybody bump once
Yo Chef gonna throw y'all niggas free lunch
Hit the L twice, need it once
Track be yelling like a whore
Like a swelling on a sore
Or this rap Magellion on your jaw
I'm a night freak,
Boating on the weekends, ten a week
Flows spray it like Clinique
Rich unique, bitch you weak
Contact Reek, we callin up Leek
Yo he famous like Ali feet, yo mystical
Rap Larry Davis with a pistol
And dis you
You a student, fuckin' wit a principal
Rollin' like ten at a time
Begin, love revolves around a thin line
Go against this, send mine
Lace you chase you down
Let a hundred rounds race you
Now you went from brolic to a facial
(Raekwon)
Yo, ayo glass tree house
Yo, Fiendin like fuck in a green house
Rush and cut, chain cream out
Blow steam out
Rare like guccis in ears
Goose bears
Skied up, loving all my deustch years
Coat for broadway
Hundred and 39th all day
Got my chick rollin' call her Parle'
20th century max like jail penitentiary
Nikki Barnes gon' lynch me
What, fruit flavored nikes
Benz 2000 the hype piece
Send half my love out to white peeps
Wu-Tang emblem, success, make a nigga tremble
Nine of us stand, nine resemble
Filling out tax reports
Look live up in Guess shorts
Bitches got love and support
Yo, leather jacket, yellow
Leather hat, mack it real mellow
New York state of mind, crime Othello
Wild zoo of bitches, burrow that's Staten
Yo we actin', Wud up we do that crack thing captain
Still camaflouge jackets
Mad rackets
Out yo we cap shit, picture that nigga mashin
(Raekwon)
Yo, aiyo blowin' more reason
For a season, wud up shortie jaw season
Baltimore hall bleeding
Take money, remember that ?dun gottori? son
Dripped out in Bahamas all bummy
Gain you out patriot
Portrait of my love mad shit
Now we with things, the long gray shit
Luke bitches in Barook
Cute big, fat bitches with Luke
Lex you need boots that switches
Flights over Iraq
Ironing my hat out, and 'lax
Connecting with diplomat cats
Harlem hustle connect, Iceberg varsity check
Rimmin well ice drool off my dick
Abe Lincoln president suites, lay eventually
Pinch me, I bought head from Monica Lewinsky
Arrest that hoodlum
Strong arm that the white gooden
Faggot nigga frontin, knew he wouldn't
Flexible impact rhymin professional
We staked out eatin all side vegetables
Prosperity rhymes, lines
Casians and Asians
Let's blaze niggas with the shine
Raekwon: Yeah word up, that's right ha ha
Y'all be loving my shit, yeah all the real niggas
Stand up, hey yo let me speak, let me speak
Yo this a new year right here
It's the 2 with the 3 zeros, here me?
It's gonna get technical for real
Let's play the game right
It's jus a friendly game of baseball
Ha feel me? Hey yo Santanna, yo
Bring that suitcase in here kid
Let's count that, where it came from?
Where it came from? Rollin' like ten at a time..."
3,4 In The Morning,2015,Fly International Luxurious Art (2015),,Raekwon,"Did he have hands?
Did he have a face?
Yes
Then it wasn't us
(Raekwon)
Bernard Goetz Gazelle's on
.45 in the bag, mask a Bourdon
Sacks Willy jury is all really
Rich nigga's paying for the team
Sniff the eighth and feed Lily
Lily is a cocaine Willy
Who got mad connects in a small town in Philly
Octopus soul sister rock a puss
Ghost outside parked vertical
Yeah, the Jakes'll murder you
Four to five hundred bricks
Dicks come in with no tie on
That symbolizes the wire on
All Krylon heat my rings bling 500 feet away
Hit the church steeples in the D
Brand new shells on, a python, a Fisker
Twist from the Astons made for the listener
Or rather yeah, the driver, suicide rider
B bums and Wally's, me and Shallah's colleagues
4 in the morning [8x]
(Raekwon)
Blow hands, the stove is a roaster where bottles whip in motion
May cause 'drop him in the ocean'
Irish blood gangsters, the roulettes
Cooler moving through Texas, grandmother she Mex-ish, yup
Tablets, krills, bath salts, last call, get it
Drugs flying minutes like a fastball
Smash all, I will remain clean, the status calm
I do it for niggas who last long
Last Don's chill, Kings in the chair, cigars in the air
This the last part with snakes that'll break any man's arm
Which way the grass growin'
We've sown enough and now we're farmers
Who come through with lawn mowers and armor
4 in the morning [8x]
(Ghostface Killah)
Yeah, I used to move cracks, sort diesel and gats
Runnin' trains on them hood rat bitches up in the trap
We used to blow 'em out
Fiends comin' in hike with they seized bite
With residue stuck all on they pipe
4 in the mornin' when the gates start jumpin'
Dustheads lurkin' and the fiends start thumpin'
And it seems like the fiends, he own CREAM, so they jumpin'
Bean told Cream he stole green so he cut 'em
Ditch him Star, souflee'd one half of his cheekbone
Now he talkin' out the side of his mouth
But yo, peep homes, stuck
Fly dust, that's four finger nuggets
With plastic stuffed in the Kangol buckets
Dirty burners on, gloves and scanners
Smart mouth, Teymor bitches in the back gettin' sandwiched
After a dick suck accountant
In the wee hours, backing up mountains
4 in the morning
4 in the morning [8x]"
4,About Me,2009,Only Built 4 Cuban Linx... Pt. II (2009),,Raekwon,"Aiyo, Shallah, what up? (Yeah, you know how we do it)
(Turn me up, kid, let's get it popping)
Crazy, let's go get 'em killa (Yo Dre, good looking on this coke, man)
(This shit is official)
Aiyo, it's back to business, making them diskettes, pushing sixes
Rocking wild animals on jackets are sickening
Hear me? From here to Rockaway to Cali, we flipped this
Broad day, Chef'll saute, his lyrics is crispy
Now I got Dre up in the kitchen, Rae stuck in position
Bout to flame broil his coke and get busy
What? Politics, pop collars and drive violent whips
Stay fly, hungry and wise, you know the code, honor it
Sit back, yelling it's nothing, unless his buttons get pressed
We don't stress nothing, we only get dressed
Stretched out, moving professional, frying more fish
I heard it in slurs, them niggas is blessed
While we ball to the maximum, give me the floor, for real
I show off and let my money get stretched
Take it to a new level, new bezzle, few rebels
Few wolves with medals on, you know we get test
Me, nigga, me, that's who, Cash Rule
(Hah, better slow it down, niggas'll smash you, homey, uh)
Me, nigga, me, pass through, rascals
(Hah, half gorilla, half ape in them track suits, black, come on)
Me, nigga, me, capsules, birds, whips
Ounces and fifths (no licking the glass, duke, yeah)
Yeah, yeah-yeah-yeah, yeah-yeah-yeah, yeah (yeah)
I'm here, so it's there, yeah-yeah-yeah-yeah, yeah
Here comes the, a lethal presentation taking you places you never been
Deadlier than the combination of coke and heroin
I see the weakness in most of you niggas that be hollering
So I toned it down, so these words be piercing your lower obdomen
What I meant to say abdomen, keep on listening and following
While I'm ditecting a German, hateful niggas, chicks be swallowing
And if you look funny to me, and there's a problem then
I put you under an ultraviolet light or a halogen
As if I was busy deciphering counterfeit dollars and
Hoes in like some kind of Biblical figure, King Solomon
Hah, just for the record, what we do is essential
While I captivate the masses and keep the moments eventful
Doc Dre, Bust, Shallah Rae, see the vision?
Most you niggas still in disbelief, just came into fruition now
Pop the cork up off this bottle and you pour it
So euphoric, document this moment, shit is so historic
King of kings spit blood, all on my apron
Wash a nigga face with the mack, smoke 'em like Steak-umm's
Yeah my dynasty's brolic for real, we hunt E, catch the rat
Blow his waist, float in the stream
You know we all-pro with it, anti auto-tune
Boom, my flow fire, sit by the stove, hit it
Real niggas, official as listeners, gangstas and visitors
Step in the shit, we all prisoners
Might take the hammer from you, know I'm the animal
Rock a spur fur hat, no niggas in sandals, boo
Everyday get money and dress rugged, these are the times
Keep a nine on you, blow off in public
And I will surely feed my niggas the streets
Cop the hottest things to get, and haters they can eat and then preach
And while it go down, worldwide, this the team, this the theme
Me, Dre, Rhymes, my money makers is mean, what?"
5,All About You,2015,Fly International Luxurious Art (2015),,Raekwon,"(Estelle)
This is the wrong time - but I wish you were all mine
I ain't trying to wait, listen to fate
But what's a man to do?
Said I'm all confused and you ain't trying to choose
Whether I win or lose, baby
Yeah, it's all about you, all about you
It's all about you
Said it's all about you, all about you
Said it's all about you, all about you
Yeah, it's all about you, all about you
All about you
(Raekwon)
It been about me, I'm a king from the rip
My own millionaire style, my swag on dip
Stay fresh in the freshest places
Flip papers, fly around, Bugattis and yachts
Holding knots, C.R.E.A.M relations
It's like hitting the lotto winning
More money, more problems you gotta be kidding
I'd rather sit up in the Bronx and parlay some shit up
I'm usually breaking down eights and slaying some sit-ups
Boo, it's tight times, let me hustle
'Cause everything you want, I'm near with all muscle
'Cause when I'm in the streets, we eating, more Ruffles
Then we can play the suits in Vegas, all duffles
'Cause you the queen, I'm the king, be a rider
A man with a game plan stressing, ain't a rider
So let me paint picture, stay crisp, we providers
We real, realer than real, word to mamas
(Estelle)
This is the wrong time - but I wish you were all mine
I ain't trying to wait, listen to fate
But what's a man to do?
Said I'm all confused and you ain't trying to choose
Whether I win or lose, baby
Yeah, it's all about you, all about you
It's all about you
Said it's all about you, all about you
Said it's all about you, all about you
Yeah, it's all about you, all about you
All about you
(Raekwon)
Kingpin chef in the town, keep it 100
Ice on his neck and his arms with more money
Jump into the 250 [?], getting blunted
Pockets carry more than a stack, we all frontin'
Rich black African, dons getting cheddar
Shorty knows better, let's blow, bring the Beretta
Showing off the vault, you walk, nigga, you're welcome
Or you can stay here and be rich with me and help 'em
I'm just crazy, fly slick intelligence
He play high, on the strips, and flip pelicans
My whole clique is in this bitch, 10 elephants
Who stay fresher than us? That's irrelevant
True, yeah, nothing but a G-thing
Whoa, yo, they be coming through, peep game
Boo, I know it's over baby, keep playing
Oops, I'm out of energy, street king
(Estelle)
This is the wrong time - but I wish you were all mine
I ain't trying to wait, listen to fate
But what's a man to do?
Said I'm all confused and you ain't trying to choose
Whether I win or lose, baby
Yeah, it's all about you, all about you
It's all about you
Said it's all about you, all about you
Said it's all about you, all about you
Yeah, it's all about you, all about you
All about you"
6,All I Got Is You  Pt. II,1999,Immobilarity (1999),,Raekwon,"Straight up, c'mon Bub, I need you man
Yo, Straight up y'all
Yo Ghost I love you man
You know how we do this right here
We do this for our family
See you soon kid
(Verse One)
The greatest thing a kid could have
To chill with his family, sit back layin on his Dad
Props go out, next thing you know Pops roll out
Moms cussed him out, get the fuck out
Couldn't understand it, feelings turnin' to hard granite
Now she a one single parent
Growin' up on welfare, she might need healthcare
That made me feel no one else cares
Moms is a part of my life forever
Gettin' drunk that's her business guess that's stormy weather
Fish and grits, twelve o' clock midnight pissed
Stop cryin Ma take a kiss
Take care of ya brother and sis
Something happen to me I miss ya better be offic (official)
She meant that shit, every mouthful accurate
Took me to school be emaculate
Taught by the best, remember stress
A ghetto agenda that's how we rest
Don't let'em play with your emotions
Lotioning me, little money in my vest
Damn, Mom going through it
Still holding me through it
Sneaker money fucked up
Yo, Yeah when Granddaddy died
I know you didn't see me cry
Held it in, it hurted Ma alot
Remember, Bucs had me in a tux
Went to beef stake Charlie's had my first pay cut
Yeah, lovin' you always screamin on janitors in hallways
It's my son always
Caught me in the crib yo, smokin'
Sat me down heart broken, hopin the phase had me open yo
You like, hey yo, for real you like lovin' you for life it's only right
Strong yourself we make it
Weak minded you naked
The pain and hurt I can't take it
Plus my Uncle in jail
That's your brother go see him, he look forward to it like mail
You my ace, you the lady in the place
You ain't a waste, we just trapped inside a low-life place
Trust me I'm gonna work hard
Tatto my body, throw it on top where I got scars
See it son, start cryin
(Singing)"
7,All Over Again,2003,The Lex Diamond Story (2003),,Raekwon,"""Yes, I got you started, yes, I got you started!""
(Intro: Raekwon)
Uh... yeah...
This is on some Can It Be/C.R.E.A.M. shit, right here, too
Yeah, word up, take it there for these niggas, you know
Word up? Yo... uh-huh, reminisce, nigga
Word up, nice sunny day, rainy day
Preferable for you and yours, let's blow, yo
(Raekwon)
Who would have thought I would have made it y'all
Ten years later, still in the gid-game, the Clan, we was one the greatest
We did platinum back in '93, we painted pictures you could see
We was living who y'all tryin' to be
RZA had a vision, instead of cookin coke in the kitchen
He told the God, hit the booth and start spittin'
At first it was a dream to me, Ol' Earth buggin
Put your gun down, screamin that the streets is gon' be needin me
I did the Knowledge to the Wisdom that you spoke to me
The Wu become us, the world enbraced us
A new day, a new life for the God
Got a hood thing, watchin ""Ice Water"" evolve
Destined to build a mountain - niggaz is doubtin my work
Black millionaire, check what I'm worth
I gotta thank y'all for takin' in Lex, I appreciate it
I apoligize for keepin' y'all waitin
(Interlude: sample (Raekwon))
""Yes I got you started all over again"" (2X)
(Word up... let's go back... finish up)
(Raekwon)
Growin' up, we've been through hard times
Life on the streets, just tryin' survive
Plus my niggas got mouth's to feed
We sold to crack fiends, coke, ice and money machines
Shootin' at cops, them maggots tried to stop our C.R.E.A.M
But it won't stop, can't stop, my niggas locked down in a box
I feel your pain, I know you're tryin' to come home
All that weak bullshit, I had to leave it alone
Heard my mom's cryin' at night, we rap on the phone, I love you
Never meant to stress you out, do you wrong, yo I'm workin
Then move you from a block to a home
We came from nothin', seein' how the world is so cold
Some niggas comin' out of churches sellin' devil their soul, yo
My neighborhood is crime central, sort of like prisons and cops
One on lock, instead of tryin' to defend you
All that bullshit we've been through, time to draw the line right here
Got to stop now, time is the issue
(Interlude: sample (Raekwon))
""Yes I got you started all over again"" (2X)
(One more jewel... one more... move... let's go, let's go)
(Raekwon)
It's time to rebuild, teach our seeds, that guns don't kill
It's the nigga behind the trigger that will
Society's ill, blacks support seeds for their mills
Mentally brainwashed, time moves on, we stand still
I seen life through the birth of my son, I seen it all again
A soldier stuck in these streets, hopin' it's war within
Too late to fall now, I'm on now
Niggas is born now, we doin' good, we on tour now
Elevate your prosperity, I'm seein' shit with clarity
No longer on the low, pa, I couldn't handle thieves
Too much to live for, I just wanna poly and grow
Stack ones and watch my little dun's blow
(Outro: sample)
""Yes I got you started all over again"" (4X)"
8,Ason Jones,2009,Only Built 4 Cuban Linx... Pt. II (2009),,Raekwon,"Intro:word I miss you, I miss the god
Word... a powerful brother, man, he was live
Raekwon:he was a powerful general, the smell from his breathe was ballantine this it was the year 89'
He stayed the freshest, polo boots, wallies with them colorful low goose
Coming from Medina, we boost
We up in A&S, slipping and dipping to bedstuy
Native, he used to beatbox, thousands'll listen
Yo, that's before, the wu got on, him and allah just'
And RZA, came to the island one morn'
A nigga could dance to slow music, outdrink any nigga
On the benches, while we hitting reefer, he sold loosies
Five foot seven a legend was born, Russel ""ason"" Jones
I know for his braids and lessons
A wiseman with knowledge 120, kept a flag on his chest
A right hand, you quick, serving you remy
Yo, lets toadt to the fallen, lost forgotten
Aiyo, if niggas could hear me, then roll up some broccoli
Ason, the heart of a lion, a purified mind
The way he did it, with a mic and some wine
I would never forget the days we used to sit back
Days I be all up in the crib, listening, holding, align him and yo I just miss this nigga
And now I understand the meaning of love when I kissed the nigga
Interlude:ol dirty bastard (sample)
My name is ol dirty bastard, youknowhatimsayin?
I don't hide nothing back, I barely, I mean, I come from a family, man of poor welfare, youknowhatimsaying?
When I came out my mother womb I was on welfare, youknowhatimsaying
So so so it's like you got to keep it real nahwhatimean?
He had a heart of gold, intelligent soul from day one
Loud as the ferry, best friend was momma Cherry
Sweet lady, BK baby, she taught Dirty
How to cook, clean, singing the songs, say the
Old school dances and O.E., Ballantine, the wine
We sip, while we sat with the O.G.'s
Knowledge of self, good health
The fortunes that came with the game, had my brother insane
It's like wealth ain't enough to live for
But if you got love in your heart, just believe in yourself
That was the black man rap, baby Jesus in the black Land'
Few jewelry pieces with his gold fangs, his fam
(Brooklyn Zu) you know my brother was ill
The first dude to say, ""Yo, keep it real""
Yeah, the lover, the father, the hustler, the rap professor
Now he with Allah, that's a blessing
(Interlude: ~Ol' Dirty Bastard Sample~)
See, it's like, ok, where I come from
In my neighborhood, my people know me
Youknowhatimsaying? See, if I try to come any different
They ain't gon' respect me no more
Youknowhatimsaying? Because they -- you know people
Got their thing about themselves, you know
If you come from the neighborhood, youknowhatimsaying
You couldn't, you couldn't get out the neighborhood
But you could never take the neighborhood out of the people
Youknowhatimsaying, but if you try to like jump and crossover
To the other side, people understand that, and they don't like that
That's why they don't be buying people music
See, we keeps it real, and we always gon' keep it real
You can't knock what's real, youknowhatimsaying? We telling the truth, man"
9,Baggin Crack,2009,Only Built 4 Cuban Linx... Pt. II (2009),,Raekwon,"Choppin' like a lumberjack up in the gate
One plate, a rock on the table, movin that flake
Yeah fiends start hittin' my shit
Paranoid, he got the convoy all up in his crib
One nigga sick, fuck it
Let's get this money, got the razor clackin'
In my jean jacket a little scale
Some baggies and a mean ratchet
Now I start baggin' away
Fiends is comin', yo
Took off my shirt, murked that away
How many you want? Like 17
Shits is golden, daddy, play ya part lil' soldier
Better beam, and now we start blazin' the place
Coke all in my skin, eyes is burnin' now I'm wipin' my face
The shit's good, right? Best in the town
My little Dominican man and them blessed me
Big prices let me wrestle 'em down
Keys is like 20 a joint, for you, gimme 14
Flood 'em wit dimes and give ya niggas joints
Suge Knight the building, take the town over
Then I woke up, there's blood on my left thumb
I bagged over now I start casin' the crib
Basin', 80 a gram kicked off the Playstation
Now the whole lab is mine
First niggas was lyin', mad hundreds start growin' in line
Yo the shit's love shakes and a dimensional caps
You want sick love, buy like one invincible pack
You get this stuff, you gon' see residuals back
You just a dig-dug, you can't even hit me wit facts
I just bugged on 'em
Played the rug on 'em
2 for 9, you my nigga got love for 'im
He hid it in the pot, said 'Ah yes' and 'This is destined'
Flashback to his culture, he Mexican
You all that, slick politician wit'cha raw rap?
You can sell from anywhere to jail? Nigga fall back
You be stashin' shit all in the mailboxes, all that?
You just as real as them niggas on the callback?
Yo son let it loose man
You got a lotta G to juice son
Here go 4 more, man
Word up, man, go wash ya hands, man
Word up man, go pour me some juice or somethin'
Word up man
Come see me though, for real for real"
