,song,year,album,genre,artist,lyric
0,#BETiGOTSUMWEED,2011,Setbacks (2011),Hip Hop,Schoolboy Q,"Everytime that I wake up, I swear I'm never down
Even when I'm in my dreams, I'm high off self esteem
Blowin' on that Jamaica my niggas love the team, marijuana fiend
Keep your Black N Milds and cigs 'cause me no nicotine
I keep my pimpin' mean
Me and Musa as we pulled up on them sixes just to go and bust some bitches
See them motherfuckin' wheels, sex appeal
And if I'm in the backseat with them tints, that Glock concealed
They eye us as we peel like the, orange hat that I be stylin' in
Like a zanny or a klonopin
All your swishers, they be model thin
We plus size, nigga!
Like Tocarra and them, shining like a halogen
So bright, like highbeams, headlights and midnight
That one of Rhode Island's watchtower sights
Yeah, the world is all I need
But if you don't know anything just know I got some weed
Bet I got some weed
Bet I got some weed
You don't know anything? Just know I got some weed
Bet I got some weed
Bet I got some weed
Ain't got no money mayne, but bet I got some weed
Hey, who got some weed?
Who got some weed?
Who got some weed?
Who got some weed?
Who got some weed?
Who got some weed?
Who got some weed?
Let's go chill up on my balcony and feel the breeze
Open up a corona and see who got some weed
If we don't have no trees then let's gather up the fees
Hundred dollars, that's a seventh of the sour D
Make a order it'll be here a quarter to three
Smoke it till we on E
Then we fill up again with another 10
Then we just go run back to the cheese to fill our, family needs
No a rease, smoke one for our G's that ran with a strike of 3's
We dyin' up in every plea
So for y'all my niggas swear to god my heart will bleed
Kick the shit for my lifers and ones who kickin' seas
Even if it's just 5 dollars keep your brain on free
Elevate your mind 'cause in due time you wine and dine
Something fine in that
Kush blunts soon be your valentine and my shit be Columbine
My friends is all I need
But If you don't know anything just know I got some weed
Bet I got some weed
Bet I got some weed
You don't know anything? Just know I got some weed
Bet I got some weed
Bet I got some weed
Ain't got no money mayne, but bet I got some weed
Hey, who got some weed?
Who got some weed?
Who got some weed?
Who got some weed?
Who got some weed?
Who got some weed?
Who got some weed?"
1,2 Raw,2012,Habits & Contradictions (2012),Hip Hop,Schoolboy Q,"Aye groove the window down oh shit I'm getting high
Still I'm cool... No AC needed
Probly slidin down ya region off this henney got me leanin
Ain't no secret that we ballin and yo ho be refereeing
Bet I make that pussy whistle up and down that booty dribble
Was she foul? Just a little, tech-nical how she nibble uh
Ain't fuckin' with you losers all my niggas won
It's mista bet I got sum weed, aye split another one
Look down upon the ceiling
Just try to reach the sky 'cause when you up they all be kneeling
Contradictions in my thoughts and I just execute my feelings
Shake the nonbelievers off I'm tryna navigate a million
But yo first lets hit the store you know I love Korean
She tell me hurry up and buy, I hurry up I'm fiendin
So I zip that, chop that, pass the blunt
Know my dick from last month but there's more to come, what the fuck?
2, 2 fucking raw (Face down, ass up)
Heroin, extacy, oxycontin, vicodin, coca cola everything up in our jeans
Even methamphetamines
Get this bread by any means
Pcp, lsd, transactions frequently
Turn ya job into a ki
Turn that ki into a beach
Turn that beach into ur sleep
Rest ya head, remain neat
Haters love to hate a G
Gossip on ya bakery
Wish they had the recipe
Swear this life is meant for me
Tired of crackin' niggas heads in the stolen challenger
Hopped up out the passenger and merked the DA's messenger
Every corner, camera
Nigga I'm just tryna live
Shitty on a shitty curb
Niggas can ya front ya kids
See how niggas get it in
Trappin so we live in sin
This felony won't keep me in I'm hungry gotta rob again
Embarrassing my mom and them
Grandma braggin to her friends
Killin' beef, apparently
Name a nigga rare as me
Yeah I be, 2 fuckin' raw
2, 2 fucking raw (Face down, ass up)
Got me swagged
Then I put yo style in a body bag
Man I'm off a bag of that good
My flow off a pile of pack
Man I'm leanin hard, like I'm off that sy-RUP
And I'm damn near tore up
Wit my dogs and locstas
And we all got stock like brokers
Ugh, we don't chase hoes, nah
Hoes gon chase us, yeah
Straight to the condo
Yeah bitches ain't shit that's the muhhfuckin motto
In the monte carlo
Yeah sippin on carlo
Just me and my posse
Strapped up when you gotta know the ropes like ted dibiase
Look at my life raw, NIGGA
Bitches wanna suck me off, QUICKER
Haters can't stand my guts, NIGGA
'Cause I get my bucks, BIGGER
I'm on my own, I'm in my zone
Bitch niggas can't knock me off my throne
I'm on my shit, 'cause septic tanks
I don't give a fuck what set you claim
Just get yo money let the bullshit walk
Ima get this cheese like a lil rat bitch
Fuckin' suck me good
Nibbling through her team
Raw shit
Nigga check me out
Know ya jockin my steez best believe nigga we run this shit
Niggas know that I be be
2 fuckin' rawwww
2, 2 fucking raw (Face down, ass up)"
2,Big Body,2016,Blank Face LP (2016),Hip Hop,Schoolboy Q,"Hear ye, hear ye
You son of a bitch you
ScHoolboy Q and Tha Dogg Pound is in the motherfuckin' house
So uh, get your skates, get your...
Get your issue funky bitch, you slow on your feet
Get your issue funky bitch, you slow on your feet
Get your issue funky bitch, you slow on your feet
Get your issue funky bitch, you slow on your feet
Man, them niggas ain't hot (hot)
Man, them niggas ain't cold (cold)
Man, them niggas ain't hot (hot)
Man, them niggas ain't cold (ain't cold)
Man, they jewelry ain't froze (ain't froze)
Man, them bitches won't go where your money don't grow
Big body, big Benz
Big body, big Benz
Big body, big Benz
Big body, big Benz
Big body, big Benz
Big body, big Benz
Steppin' in my big blue Chucks
Groovy Q, they all wanna fuck
Park the Cutlass at the pump
Hit the switches over speed bumps
Knocking six twelves in the trunk
Where the girls with the rump?
All the pretty bitches to the front
All you groupie niggas to the back
Put the 50s on the map
Got my Hoover star on the hat
'Cause we groovin' like that
Yeah, we movin' like that
Swear to dick I shoulda made racks
Nigga, clean, dick in that cat
Got my Jimmy on strap
Like it when your booty get tapped (uh)
Why your jewelry ain't froze?
Why your money won't grow?
I move the pussy, can't fold (can't fold)
Bruh, you want a download
'Cause, walk on Melrose (Melrose)
I'ma sling an elbow (elbow)
Get a job? Hell no!
Man, them niggas ain't hot (hot)
Man, them niggas ain't cold (cold)
Man, them niggas ain't hot (hot)
Man, them niggas ain't cold (ain't cold)
Man, they jewelry ain't froze (ain't froze)
Man, them bitches won't go where your money don't grow
Big body, big Benz
Big body, big Benz
Big body, big Benz
Big body, big Benz
Big body, big Benz
Big body, big Benz
Woke and I'm already drunk
I'ma give these bitches what they want
Put this dick up in your rib
We could bring the party to the crib
Give them bitches dick to mouth and then doggy on the couch
Show up with the script, nigga bow
Nigga slanging D up in the drought
Before we bring the bitches out
Nigga west coast up in the house
Leave your trapping in the south
Bring the grooves to your feet
I could make a million every week
Bro this big body Benz ain't cheap
Why them bitches want me?
Bro you want it lowkey
Shit I probably OD, I'ma live it up free
Judge, no I never couldn't be
Everybody dance floor, what you got a man for?
Girl, I could do the pussy Rambo
Do I love her? Hell no
Man, them niggas ain't hot (hot)
Man, them niggas ain't cold (cold)
Man, them niggas ain't hot (hot)
Man, them niggas ain't cold (ain't cold)
Man, they jewelry ain't froze (ain't froze)
Man, them bitches won't go where your money don't grow
Big body, big Benz
Big body, big Benz
Big body, big Benz
Big body, big Benz
Big body, big Benz
Big body, big Benz
In a drop top shit, yeah the knock knock
6 in the morning and I'm yelling out don't stop
Money makes the world go 'round in case you didn't know
In case you didn't know about these pussies and these hoes
And these sluts, what's up? Heard they actin' up
If you don't give a shit then nigga we don't give a fuck
I told you once before that this just how this shit go
ScHoolboy Q with Tha Dogg Pound flow, you know
We hella faded
Man fuck that bitch, nigga why you fakin'?
Man fuck that bitch, nigga why you hatin'?
Fuck that bitch, you trip
This is what you get
Fuckin' 'round with this DPG shit
TDE bitch
We ain't talkin', no conversation
We just bangin' around the nation
If you don't know now you should know that
Fuck that
We ain't talkin', no conversation
We just bangin' around the nation
If you don't know now you should know that
Fuck that
Man, them niggas ain't hot (hot)
Man, them niggas ain't cold (cold)
Man, them niggas ain't hot (hot)
Man, them niggas ain't cold (ain't cold)
Man, they jewelry ain't froze (ain't froze)
Man, them bitches won't go where your money don't grow
Big body, big Benz
Big body, big Benz
Big body, big Benz
Big body, big Benz
Big body, big Benz
Big body, big Benz"
3,Birds & tHe Beez,2011,Setbacks (2011),Hip Hop,Schoolboy Q,"Straight to the block, to the hood, to a spot
Cocaine to a rock, duece duece in a sock
Every dollar closer to a drop
Every drop is closer to a cop
Every cop is closer to a cell
Hit the cell your ticket right to hell
No job, no bail
No fam, no mail
Institution another nigga fail
Go from pussy to a prison tale
Fuck that, I quit while I'm ahead
Ship my music off with them instead
Turn it up and here the ghetto pledge
Live righteous nigga like my brother said
King Tut, Martin Luther, Malcolm X, but ima shoota'
Top ramen, knowledge for the noodle
Finally gettin' praised
Yeah kudos
Doing bad, still love the need
Connect said it's something up his sleeve
Said, I rather bust off them keys
Yeah nigga birds and the beez
Birds and the beez
Birds and the beez
Wanna do a song, but its hard to carry on
And my daughter hungry sitting home
And my girl said she feeling lone
I can't tell it's over in her tone
Only time I call is for a loan
She be stressing, so depressing
Always worried every time a lil nigga gone
Stay strong for the future, stick together, yeah shoot ya'
Get a couple wipps, yeah kunta
Schoolboy but gangsta was his tutors
Say money be the root of evil, look around and see what it do to people
Veins full of heroin using pcp inject the body with a needle
Lord help us, swear to god, dope dealers, get a job
Keep it real this shit ain't really cool, being in a cell, you ain't alive
Niggas turn to shark over cheese, love to help the devil do a deed
So I rather bust of them keys, yeah nigga birds and the beez
Birds and the beez
Birds and the beez
Birds and the beez
Tired of the same ol' shit, niggas they faking it
Niggas out here living foul
Better yet they flagrant, keep these niggas right up out the game
Keep these niggas right up out my lane
I just wanna do this fucking music boy, leave this dope alone and count my change
Q I wanna see you do your thang
Entertainment business living lime light
Hop on every track and move them trains
Show these motherfuckers that you been tight, then they ever been
Its evident that you intelligent but you can't escape that life
And for you my nigga I would sacrifice my self to make it just to see you hold the mic
And hit the stage and rock the set but its hard to change when your from the set
Won't you think about it nigga, life or death, like a cracker would like to hang you by the neck
Do you wanna see the boys in jet, or you wanna see them run way jets
Fly to Singapore one way that, tell the pilot we got stacks on deck
Swear to god, its hard out here for a young black men to live
If you don't do it for yourself, then please do it for your kids
My nigga won't you tell Michelle, I love your daughter
Please don't let her grow up life without a father
Look at what you bought her, money couldn't buy
All she need is love but that shit aside
At the same time know they got to eat, know you got to hustle, make ends meet
Gotta make time, gotta get a grind, gotta push the line, HTC, no a.c
And the block hot, you keep runnin', cop say freeze
Blue pill, red bill, choose now, birds or the beez
Birds or the beez
Birds or the beez
Tired of the same ol' shit, niggas they faking it
Niggas out here living foul
Better yet they flagrant, keep these niggas right up out the game
Keep these niggas right up out my lane
I just wanna do this fucking music boy, leave this dope alone and count my change
Count my change
Count my change"
4,Black THougHts,2016,Blank Face LP (2016),Hip Hop,Schoolboy Q,"Our experience to where we have parents in our lives that were showing us everything, like didn't nobody walk us, our hand and show love like you do this and don't do that. It wasn't like that coming up in our mothafuckin' community. We grew up off of cigarillos... we grew up off of second row, acting like them. A worldwide blade, a real strength...
Yeah that's on the regular
Smokin' the gas on the regular, man
Word
Sippin' on Hen, that's the regular
Pissy sofas, sharin' food with roaches, uh
I'm gangsta, Crip, my poppa was a bitch
Left me where hope just don't exist
And every neighbor got a fence
With bars on windows, my mom's slavin' for the rent
Throwin' dices, GT dyno pool
Where you hang, we shootin'
You slip, we stiffin'
Creative Crippin', uh
Bitches stoppin' traffic
This the type of shit that make the MAC a classic
Reason I'm a pussy magnet
She learned to carry package
Been the best at rappin', uh
I'm hot as Vegas
Your favorite rapper broke, he don't get this paper
But claim he got a kilo, been born in '93 though
He tryna fool the people
Man
The joke's on you, mothafucka
The loc is on you, mothafucka
I warned you, it's karma
Black thoughts and marijuana, it's karma
Black thoughts and marijuana, it's karma
Black thoughts and marijuana, it's karma
Ain't nothin' changed but the change
Let's put our brains away from gangs
Crips and Bloods the old and new slaves
Shit we even changed our names
Tiny somethin' Lil Shane while we bang
But yo, y'all ain't hearin' me
My homie facin' life, told me that my pride my biggest enemy
But... you keep your eyes in that dark
Your mind, it greys your heart
I wrote these rhymes days apart
Most of us caught before we can expand our thoughts
How your grandmother see your corpse?
How your big homie make your life a book?
Left you for dead 'cause he ain't lead you, right
But I'm gon' fredom write
Let's put the rags down and raise our kids
Let's put the guns down and blaze a spliff
Let's do it now, ain't no buts or ifs
It took a Blood to get me Pringle chips
You can learn to fly or take the ladder
Real nigga shit, all lives matter, both sides
Man
The joke's on you, mothafucka
The loc is on you, mothafucka
I warned you, it's karma
Black thoughts and marijuana, it's karma
Black thoughts and marijuana, it's karma
Black thoughts and marijuana, it's karma"
5,Blank Face,2016,Blank Face LP (2016),Hip Hop,Schoolboy Q,"Who you tellin'?
Blank faces
Smokers and dope fiends, hookers and playas
Dope in the vein, young and servin' the meds
Run from the police, jump from the ledge
Be what you wanna be as long as you get the money right, yeah
Niggas don't understand until you leap over 25
Dancin' with devils, never knew how to treat your woman right, yeah
Feet on the pedal runnin' over jokers and funny tops
Word to my OG, he gone, that nigga fresh out of strikes
I should know better, Heaven knows that I ain't the dummy type, nah
I should be flyin' home without a care
My baby don't want no toys, she want me there
I trade the noise for a piece of divine
I savor my coins for a piece of the land, ah
Something to pass while I'm passin' my prime
My word in the cards, full deckk in my hand
As sure as the smog is pollutin' the land
Be what you wanna be as long as you get the money right, yeah
Uh... wise as my Chevy
My life's so fucked up the drank don't get me buzzed
We ain't blood and they killed my 'cause
Chuckin' Cs since I was a cub
Young nigga grew up on hate but where's the love?
Ash and dubs on
Niggas don't understand until you leap over 25
Dancin' with devils
Guess you would say I'm one of the lucky type
No!
Fuck you thought?
Playin' tooth fairy, Santa before I'm buried
Easter egg Huntin', pickin' seeds out the pumpkin
Six years straight the valentine for my munchkin
I made a queen outta nothin'
Told me stay in school, my dream was just a small percentage
Said a million wasn't realistic
Last year I spent it, what's the laws of physics?
Move pounds or move down to Section 8 livin'
Grew up around Crippin', Woo business
And if I never make it to 25 I swear to God I'm still gon' fly, nigga
But it's still my time, nigga
Tell me who gon' fly with me?
Yeah!
Who gon' ride with ya?
Who gon' fly with ya?
It's still my time, yeah
It's still my time, nigga, yeah"
6,Blessed,2012,Habits & Contradictions (2012),Hip Hop,Schoolboy Q,"What it's like for a nigga like me
Livin' out his backpack every night needed a new place to sleep
But this is now, nigga!
Ones for the money, two for the bitches
Three to get ready 'cause I feel I finally did it
Four's for the jealous rapper mad because he finished
Turn that motherfucker to a critic
Man, I got so much shit up on my plate dawg
I was hangin' on them corners late
Pockets wasn't straight, bitch
I ain't gon' make it at this rate, dawg
Know what I'm sayin'?
Nigga prayin' up to God just hopin' that he hear a nigga
I know the world got more problems and it's much bigger
But I figured, I'd get some shit up off my chest
To all my niggas I would die for
Load my pistol up, go out and war for
To all my niggas that'll never make it out the streets
Fuck it, keep goin' hard, don't let 'em see you weak
To all my niggas first time steppin' in the pen
Read a book and exercise, keep your spirit in
To all my niggas that's gon' fuck around and die today
Take our hats off, bow our heads and let us pray
Just wanna say
Stay blessed my nigga, blessed my nigga
Really think about it, could be worse my nigga
Don't stress my nigga, yes my nigga
We all blessed my nigga
Now how the fuck I'm 'posed to say this?
You see, my nigga just lost his son while I'm here huggin' on my daughter
I grip her harder
Kiss her on the head as I cry for a bit
Thinkin' of some bullshit to tell him, like
""It'll be okay. You'll be straight, it'll be aight.""
Well, fuck that shit, whatever you need, yo, I got it!
Whether it's money or some weed or puttin' in work, fuck it, then I'm ridin'!
You know wassup, but now a nigga couldn't stick around
Told myself that after y'all moved that I'd be a fuckin' fool
To be livin' by the street rules
Fuck police tattoos, that happens when you ditch school
But anyway, keep the faith, stay strong brah
Remain' solid brah
Keep playin' ball 'cause it's the only way up out it, brah
A nigga proud of ya'
Tell Floyd to enjoy his newborn seed, I'll have whatever he needs
We the last of a dyin' breed, live life, smoke trees
See how far we've come, but most, I'm sorry for your son
Stay blessed my nigga, blessed my nigga
Really think about it, could be worse my nigga
Don't stress my nigga, yes my nigga
We all blessed my nigga
And you ain't gotta shed no tear
I'll be everywhere
And I'mma always be right here
I ain't forgot those years
I'll be everwhere
But I'mma always be right here
Livin' in a premature place - wait
Never grow to see the pearly gates - break
Every time a bullet detonate - dates
Of obituary carry crates of a scary picture
With a family member that relate to ya
In December you was finna pin another case
On your record in a stolen Expedition, play it safe
As the record spinnin' you was hearin' angels entertain
Every pun intended, that was wicked, comin' from your brain
Recognize you listened and you didn't hit the block again
That's because the minute after you had knew you would be slain
Open up another chapter in the book and read 'gain
Story of a gun-clapper really tryna make a change
Everybody ain't (blessed my nigga)
Yes, my nigga, you're blessed
Take advantage, do your best, my nigga
Don't stress, you was granted everything inside this planet
Anything you imagine, you possess, my nigga
You reject these niggas, that neglect, your respect
For the progress of a baby step, my nigga
Step, step my nigga
One, two, skip, skip
Back, back, look both ways
Pull it off the hip
Blast at anybody say that you can't flip
This crack into rap music every other zip is a track
Get used to it, get it off quick
Come back, give back to the city you've built
That's that, don't trip, see money, fuck niggas, dawg
It ain't nothin' but a bunch of fuck niggas dawg
In a minute everybody gon' be winnin'
Put a little faith in it then recognize that we all
Stay blessed my nigga, blessed my nigga
Really think about it, could be worse my nigga
Don't stress my nigga, yes my nigga
We all blessed my nigga"
7,Blind Threats,2014,Oxymoron (2014),Hip Hop,Schoolboy Q,"Right, uh, same shit every day, homie
Lord please forgive me for all my sins
Yeah, nigga wake up to the same shit everyday, homie
Walking in the valley of the shadow of death
No rules, right
Washing my sins off in hell's water
Feel like the Bible told me lies as I pray to 'em
Kneel down, put my faith in 'em, will you answer me?
But if God won't help me, this gun will, I swear I'm gon' find my way
Uh, four corners, cat and mouse chase, got cheese to catch
High on on some drug, I'm Space Cadet
Dreaming I don't live up on the block no more
Trapping trying to make it out this obstacle
Life on the edge, hell a block away
Pretty Snow White turned eight today
Selling that base, no Dr. Dre
Uh, guess who in the building?
Bucket hat with a strap like a pilgrim
Uh, kneeling down with some questions to address like
Why the ones who commit the worst sins live the best?
The 10 commandments, I can mark five checks
But I sense flaws, the Bible preaching blind threats
Streets held me down, got faith in a Pyrex
Faith in a four-five, I call it the clarinet
Sewer full of drugs when the toilet digests from the cop raid
All can relate, from the streets to the wall from niggas to compadres
When the sun go down, I'm predictin' a heatwave, forecast your whole body
Heat on, room full of homi's, I just pray that the Lord got me
But if God don't help me, this gun will, I swear I'm gon' find my way
Mic check (La-la, la-la, low-low, la-la, la-la, low)
But if God won't help me, this gun will, I swear I'm gon' find my way
Aim that, shoot that, pledge allegiance
Kill mine, kill yours, make it even
Soul need saving, Mr. Preacher
I know I only come around when it's Easter
Funerals, Thanksgiving, Christmas time
When I'm in jail or when my card declined
Uh, will you answer me?
Take me out of Hell and make plans for me?
Misery loves company, ain't a surprise
It was just me and my niggas, we was trying to survive
But we would never make it out alive
We living to die, oxymoron
Hope to get to heaven till that day arrive
Running through the ally, hope the bullet don't collide
Car window shattered, glass on my right side
Dogs bark in the backyard, root for me
Out of shape belly, courtesy of 40
Spoiled only child, baby boy Jody
Same jacket on from back in the day
Praying that the Lord come and take me away
But if God don't help me, this gun will, I swear I'm gon' find my way
Mic check (La-la, la-la, low-low, la-la, la-la, low)
But if God won't help me, this gun will, I swear I'm gon' find my way
It go tuna fish sandwiches bread, dry snaking
Black Lincoln, burgundy Mac, I clap a king-pin
Caught me in the airport gust that I was thinkin'
On how to stay rich and get bills with my acquaintances
Yeah, money is the issue, I diss you
It's no problem at all, yo, the bunch on the pistol
'Cause I'm a suit case king
Cooling at the gambling spot with a screwed face grin
No wage bet, we stay winning, play it again, yo
Put the bone in your jaw, now say it again
Round knife, fork, under the tents, coming to rents
Get out the way or let the shotty dispense
Revenge killers who make the events iller
This is more realer, snatch you right up out of the Benz
The Wu wheelers who huddle up, coupes knows the truth
You know the woopty-woop, solo or group I kill niggas"
8,Break the Bank,2014,Oxymoron (2014),Hip Hop,Schoolboy Q,"Fuck rap, I've been rich, crack by my stick shift
Oxy like concerts, always my bread first
GetMine my nickname, O-X and cocaine
Nina my new thing, blew up before fame
Heart filled with octane, fire in my soul
Burn through my shoestring, came up from boosting
Du-rags and flatlines, drive-by's at bedtime
Get down, I earn mine, so one loss they can't sign
Thank God that I'm straight, no wonder my mom prayed
Lost one of my cuzzos, cursed from them devils
Good weed and me time, goodbye to Nissan
Cause one day this rappin' gon' pay
So now we 'bout to break the bank, money be on my mind
Niggas talkin' 'bout, soundin' like la-da-di-do, la-di-da-di-da-di-do
Now we 'bout to break the bank, money be on my mind
Niggas talkin' 'bout, soundin' like la-da-di-do, la-di-da-di-da-di-do
La-da-di-do, la-di-da-di-da-di-do
La-da-di-do, la-di-da-di-da-di-do, niggas talkin' 'bout
La-da-di-do, la-di-da-di-da-di-do
La-da-di-do, la-di-da-di-da-di-do, now we 'bout to break the bank
My time to show out, finally the illest Crip
And I guarantee, I spit harder than concrete
Surprised I got teeth, my lungs inhale keef
Peyote with THC, swinging for the fence
I hope I make it out the park, where the baseheads slide
After dark, where the bangers get caught
Hid the gun in the trees, arrest me by the court
I just wanna smoke weed and sip lean by the quart, for real
Good weed, I hit that, crack rock, I sold that
Oxy, I hid that, right by my nutsack
Fuck pigs, I bust back, learned that from Deuce rap
Peanut and B-loon, had gats before racks
Way 'fore I found rap, bitch I had them things wrapped
Astro on my cap, this shot ain't no phone app
Chucks on my young heel, make sure that my sag ill
Learn my set trip grill, trade in my big wheel
Good grades and skipped school, this life gon' catch up soon
Sure 'nough that shit did, 20 year old kid
Got off my behind, write me some sweet lines
Cause one day my story gon' pay
So now we 'bout to break the bank, money be on my mind
Niggas talkin' 'bout, soundin' like la-da-di-do, la-di-da-di-da-di-do
Now we 'bout to break the bank, money be on my mind
Niggas talkin' 'bout, soundin' like la-da-di-do, la-di-da-di-da-di-do
La-da-di-do, la-di-da-di-da-di-do
La-da-di-do, la-di-da-di-da-di-do, niggas talkin' 'bout
La-da-di-do, la-di-da-di-da-di-do
La-da-di-do, la-di-da-di-da-di-do, now we 'bout to break the bank
Your bitch wanted cash, get her, know I'm around boy
Tell Kendrick move from the throne, I came for it
I hope this fucking hit arrange for it, cause Goddamn
What you talkin' 'bout if it ain't 'bout the money?
Neck full of gold, I'm attracted to the honey
Rain, sleet, snow, 'bout the money
On Figueroa, close your eyes, might need ya mommy
Fuck rap, my shit real, came up off them pills
Hustle for my meal, grindin' for my deal
Love how I'm doing, long way from grooving
Bitch call me 2 Chainz, units be moving
Go hard for my Joy, so she don't need no boy
Smile stay on her face, big room with her own space
Up all night, the hard way, don't care if it take all day
I let y'all fucks parlay, you wonder why I'm straight
New shoes and sick clothes, bitches be front row
Bow down her tempo, I don't know her info
Threw up my peace sign, go rare with mignon
Cause one day this rappin' gon' pay
So now we 'bout to break the bank, money be on my mind
Niggas talkin' 'bout, soundin' like la-da-di-do, la-di-da-di-da-di-do
Now we 'bout to break the bank, money be on my mind
Niggas talkin' 'bout, soundin' like la-da-di-do, la-di-da-di-da-di-do
La-da-di-do, la-di-da-di-da-di-do
La-da-di-do, la-di-da-di-da-di-do, niggas talkin' 'bout
La-da-di-do, la-di-da-di-da-di-do
La-da-di-do, la-di-da-di-da-di-do, now we 'bout to break the bank
What you talkin' 'bout if it ain't 'bout the money?
Neck full of gold, I'm attracted to the honey
Rain, sleet, snow, 'bout the money
On Figueroa, close your eyes, might need ya mommy"
9,By Any Means,2016,Blank Face LP (2016),Hip Hop,Schoolboy Q,"You can fuck my bitch, you can have my hoe
Get yours, get yours, get yours by any means
You can smoke that kill, you can push that dope
Get yours, get yours, get yours by any means
You can steer that wheel, hit the gas and go
Get yours, get yours, get yours by any means
You can fuck my bitch, you can have my...
I make a scene around me, hit the corner, Heaven, Hell
I come from pimpin', bangin', baby momma rockin' yayo
Was always Grandma's baby, Moms always kept in veil
I swear my cousin want me bangin', settin'
Nigga fuck all that, tryna go my road
I can take you back nigga, 'round '04
You can do clown dance, I'ma rob that store
You can paint your face, I'ma kick down doors
I'ma shoot my gun, I'ma free my locc
I'ma sell her tongue, I'ma tan that coke
I'ma dark my lungs, I'ma heal my soul
I'ma stack my bread, I'ma cop that boat
I'ma get them M's, I'ma whip that ghost
You can fuck my bitch, you can have my hoe
Get yours, get yours, get yours by any means
You can smoke that kill, you can push that dope
Get yours, get yours, get yours by any means
You can steer that wheel, hit the gas and go
Get yours, get yours, get yours by any means
You can fuck my bitch, you can have my...
I make a scene around me, hit the corner, Heaven, Hell
I come from pimpin', bangin', baby momma rockin' yayo
50 Crip, contraband for chips, sold all kinda shit
You know we on, turned that white to stone, just don't call my phone
From scrub to boss, shit my necklace gloss, plus my Bentley cost
You poppin' pills, shit we sellin' pills, pussy sell in heels
Her booty fat, fuck her gluteus max, I'm still that groovy cat
Off 51st, yeah we pushin' work, all my pots is burnt
My section turnt, see my soda rise, dimes be super sized
Say yes to dope, cop that Enz and oh
You can fuck my bitch, you can have my hoe
Get yours, get yours, get yours by any means
You can smoke that kill, you can push that dope
Get yours, get yours, get yours by any means
You can steer that wheel, hit the gas and go
Get yours, get yours, get yours by any means
You can fuck my bitch, you can have my hoe
I make a scene around me, hit the corner, Heaven, Hell
I come from pimpin', bangin', baby momma rockin' yayo
You can fuck my bitch, you can have my hoe
You can fuck my bitch, you can have my hoe
You can fuck my bitch, you can have my hoe
You can fuck my bitch, you can have my hoe
You can fuck my bitch, you can have my..."
