,song,year,album,genre,artist,lyric
0,21 Questions,2003,Get Rich or Die Tryin' (2003),,50 Cent,"New York City 
You are now riding
With 50 Cent
You gotta love it
I just wanna chill and twist a lot
Catch stunts in my 7-45
You drive me crazy, shorty I
Need to see you and feel you next to me
I provide everything you need and I
Like your smile, I don't wanna see you cry
Got some questions that I gotta ask and I
Hope you can come up with the answers babe
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me? Girl
If I fell off tomorrow would you still love me?
If I didn't smell so good would you still hug me?
If I got locked up and sentenced to a quarter century
Could I count on you to be there to support me mentally?
If I went back to a hoopty from a Benz
Would you poof and disappear like some of my friends?
If I was hit and I was hurt would you be by my side?
If it was time to put in work would you be down to ride?
I'd get out and peel a nigga cap and chill and drive
I'm asking questions to find out how you feel inside
If I ain't rap 'cause I flipped burgers in Burger King
Would you be ashamed to tell your friends you feelin' me?
And in the bed if I use my tongue, would you like that?
If I wrote you a love letter would you write back?
Now we can have a li'l drink you know a nightcap
And we can go do what you like, I know you like that
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me? Girl
Now would you leave me if you're father found out I was thuggin'?
Do you believe me when I tell you, you the one I'm lovin'?
Are you mad 'cause I'm askin' you 21 questions?
Are you my soul mate? 'Cause if so, girl you a blessing
Do you trust me enough to tell me your dreams?
I'm starin' at ya' trying figure how you got in them jeans
If I was down would you say things to make me smile?
I treat you how you want to be treated just teach me how
If I was with some other chick and someone happened to see?
And when you asked me about it I said it wasn't me
Would you believe me? Or up and leave me?
How deep is our bond if that's all it takes for you to be gone?
We only humans girl, we make mistakes
To make it up I do whatever it take
I love you like a fat kid love cake
You know my style I say anything to make you smile
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me? Girl
Could you love me in a Bentley? Could you love me on a bus?
I'll ask 21 questions and they all about us
Could you love me in a Bentley? Could you love me on a bus?
I'll ask 21 questions and they all about us"
1,5 Heartbeats,2007,Freestyle B4 Paystyle (2007),,50 Cent,"Nights like this... I wish.
Rain drops would fall
5 heartbeats left
One last deep breath.
I got a 16 shot Rugger, I got 16 cars
All over how I write 16 bars.
Ja, Joe and Jada they're fuckin' retards
I run Interscope, uh-uh Oh, my God
Your stuff I'll make it hot
You want I'll get ya shot
You're just open your coffin
You're dead men walking.
Now when I'm out in London they say I'm so smart,
I fired rounds from pounds I came up so hard.
I been around the world and aiya-ya-ya
Must be goin' crazy.
'Cause I'm still down,
To get down to let off rounds
I'm loadin up my 380
I can't wait till I see death.
I'm tryin' to pray to the preacher man but he in new gators
My ASCAP check got a nigga new haters.
The condos in Vegas - cause NY freezin',
My strap is the reason that you on the floor bleedin'.
??Coke and?? Young - WATCHIN' 50!
And learned the dope game fast ask Bo-Diddly.
Automatic Mossberg in the all white fur
Shotgun pellets out of snow white spur. [shot] {DAMN!}
I been around the world and aiya-ya-ya!
Must be goin' crazy.
'Cause I'm still down,
To get down to let off rounds.
I'm loadin' up my 380
I can't wait till I see - death!
Oh baby!
Nigga I'm gonna... I'm gonna find you.
(50 cent)
It's the first of the month
It's the first of the motherfuckin' month nigga
It's a fuckin' zoo out here, man
These fuckin' chimpanzees, man
Fuckin' monkeys talkin' 'bout me, man
Pull through there man, it's hot
These niggas out on the curb, I'm like look at these donkie
Bunch of fuckin' jackasses
Man go DO something, nigga
What the fuck, man?
Damn, nigga go to jail nigga
Give yourself an excuse for bein' fuckin' broke nigga
Come on, man
Fuck is up man
This 50, man
SouthSide, man
You already know what I'm about boy"
2,50 Bars,2002,Guess Who's Back? (2002),,50 Cent,"50 bars of pleasure 50 bars of pain
When I'm dead and gone niggaZ gonna remember my name 50
Yo black is flashy like Alpo gun happy like Pappy
Sneaky muthafucka remind me of nigga that clap me
He ain't the type you shoot dice with and win dog
Unless you try'na get your ass laid out in gilmore
Yes we soldiers, remind me of Troy and E-Bags
When they came through they hollad like ""What up Conrad?""
Grimey niggaz they loved to get gully
Summer time still had on black gloves and scullies
The Lex 450 pulled up that's Cornbread
Them niggaZ from Philly would of called him an old head
But he an OG remind me of ChaZ and Bump real low key
Sounded like he didn't know nothing about drama
For this money shit many men do trauma
Switchy walked in son, this bitch had the baddest ass
The bulletproof glass was rolled up on the S-Class
Heard in DC he kept mad blocks in order
Picture this a young nigga gettin' it like Rich Porter
Sonny came in for half a pit
He got knocked, he on lock still controllin' his spot from constop
Pop pulled up in the CL5 his project changed
His man just got fucking murked by Salene
Heard he got it in the range nigga came popped one in his brain
Over some-thing took his watch and his chain
Country boys off the hook down there in Richmond main.
In the black 740 I sat, my hat turned back
Bow down baby nelly singing my wrist blinging What!
I'm waiting on this nigga Wise we lost for two pies
Son he smokin' that shit I can see it in his eyes
Comin' up wise emotions closed
An' most buying round looking for wisemen toast
Benny hopped out the Esculade with a few thourough men from B-More
They sellin herion in Maryland reverse back to diesel
Killed like 4 fiends his popularity grew that only meant more cream
First it was him and his brother now he got a team
Went from 5 and a half grams to living the dream
City pulled up Goddamn you know his format
Bentley is all marble in the door and floor match
Get the hats out the stash box popped two glocks
Peace ""All eyeZ on me"" 2pac
Everybody knows he a boss he still gotta floss
He on the same bullshit that sent Gotti up north
That's Dime in the blue TS stunting like he Nicky Barnes
He broke but he talk like a Don
Homes hoppin out the Jag that's Max haitin cat
Kill a nigga quick remind me of Haitian Jack
I peep his style son I know his steelo, He on the d-low
He smile at niggaZ mumbling fuck you in Creole
Heard war stories bout how he maneuver with the Ruger
Hold the iron horiZontally and send shots throug h ya
Few niggaZ tried to murk him, most them got found
Some turned away try to run they in wheelchairs now
Banks hopped out bulletproof this, bulletproof that
Bulletproof snorkel, bulletproof hat
Got out a Black Hummer he blew 90 on that
Poppin' mad shit like he gonna bulletproof that lets go"
3,50 Cent Just Fucking Around,2004,50 Cent Is The Future (2004),,50 Cent,"(50 Cent)
You can hum all you want to
Cum all you want to
But I ain't gon' want you
If nobody wants you
You like the smiles 'n' the dimples on my face
BITCH that's a bullet wound I ain't MASE!
50 Cent skip the bullshit, you fuckin' tonight
I got some dro, got some henny
We can go and get right
I ain't never been arrested for nothing domestic
But I ain't gon' lie I'll punch a bitch in the eye
Look, don't play games with me baby
The temptation, the wait, is driving me crazy
Come on give me some ass girl... WHAT UP!
I don't wanna make love
I just wanna fuck
I'm only in town tonight
If you give me some head
Tony, give you some head
A'ight
'Cause I ain't giving you no head, bitch
Tony, Tony be on that freaky shit
My nigga Tony give you some fucking head though
Nada Mean
That's why the bitches love Tony, Ha Ha
All right now, Sha let's get to some hard shit!
(Beat Changes)
(50 Cent)
If I make it to heaven
I'll probably be in the bitch lonely
Walk around saying, 'Everybody in hell know me'
You heard of Banks, you heard of Yayo, them niggaz my homies
You probably thinking how he get there
That nigga my coatie
The weather in hell is kinda hot
You know like the block
I heard it really burns
Homie, you know like a shot
That's all right for me shit
'Cause I'm in the drop
Drive around heavy
Tryna find BIG and PAC
Niggaz think when they die
All they problems stop
You die in jail, and wake up in hell
Still on lock
Imagine if you stole something and you got shot
Wake up holdin' your head, still shot
Niggaz don' died of AIDS
You know the dirty dick
Wake up in hell horny
Fidna fuck the same bitch
DAMN
Yeah, who hotta than me, nigga Ah
The only nigga hotter than me
Dead already nigga
I know what you thinkin'
You thinkin' that's it
Yeah nigga let's just keep it short and sweet
You know!"
4,50/Banks,2004,50 Cent Is The Future (2004),,50 Cent,"(*Starts off with the beat of Tweet's ""Call Me,""
Then changes over to Bubba Sparxxx and Jadakiss' ""They Ain't Ready"")
(Intro - 50 Cent talking)
Uh, yeah, G-Unit, uh, yeah 50 Cent, uh, yo
(Chorus 1 - 50 Cent, imitating Timbaland)
Timbaland sounds so good, but I might not be ready
I don't know
If I spend a 100 grand on the beat, then we done bumped already
Now here we go
(*Harmonizing over the beat - doo, doo, doo, doo, doo, doo, doo)
(Doo, doo, doo, doo, doo, doo, doo) (Pee Wee Herman)
(Doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo)
(Niggaz look down to Pee Wee Herman)
(50 Cent - Verse 1)
50, lefty, no gun in my right palm
Bronx niggaz love me, like they think our mics on (WOO)
These rap niggaz not like me, they too soft (yeah)
Get shot down, I get up, shakin' shit off
You know white collar crooks, do jokes on lap tops (uh huh)
Real niggaz snatch glocks, and run up in spots
We can talk Trump talk, real estate, stocks, and bonds
Or gangsta shit, my Rugers and glocks in palm (uh huh)
Danger, ring the alarm, kiss the ring of the Don
I conquer like Genghis Kahn, I said song in this song (god damn)
I won't hesitate to put a knife or a slug in you
And watch you bleed out, that little bit of thug in you
You don't want to bump heads with me, and get hit up
You, you ain't got what it takes to fuckin' get up
Holla niggaz names on records, that shit is played out
But holla mine in your next line, and get laid out
(50 Cent - Chorus 2)
My jewels look so good, and my chain is so heavy
I don't know
If I should stunt for these hos again, 'cause I did that already
Now here we go
(Lloyd Banks - Verse 2)
(Lloyd Banks) I don't give a fuck if your favorite rapper dies, to me that's my spot
I'll celebrate his burial and eat at Haha (yeah)
I've been hungry since a little nigga weed in my high top (Woo)
Face burgundy red, in need of a eye drop (uh huh)
I had the black Delta Force, blue in the front
Back when Jordan was flyin', and Ewing could dunk
Of course, you can fuck now, you was buyin' the shrimp then
Me on the other hand, Don Bishop and Pimp King
(*Harmonizing of ""doo, doo"" plays in backgroud until G-Unit is yelled)
I'm runnin' from a digital Munster
I do this for the hood and every kid in a dumpster
My name is poppin', and I ain't been at it long
My neck's 16, and made Flex drop a Benz latin bomb (G-UNIT!)
I'm the best thing to happen to hip hop
Since (uh huh) ""Life After Death"" and that Tupac shit drop
I'm even good to a white boy with a slick top
Stuck up in the mountains with a gun and the wrist pop
Who? where?, Master P says our watch don't tick tock
I'm cleanin' out my 6 shot, watchin' the Knicks flop
Damn near the whole damn passenger green
That's how my bedroom, look like the World Trade after the scene (smoking)
Breaking news, hijack, bus passenger scream (yeah)
I'm your worst nightmare, I crush half of your team
To me your line up is pussy, three wet Pampers
The uzi will have you shakin' like them G-Dep dancers (damn dude)
(*50 Cent - harmonizing ""doo, doo, doo""*]
*Beat stops
(Lloyd Banks)
What the fuck happen to the rest of the beat man?
(50 Cent laughing)"
5,8 Mile Road (G-Unit Remix),2003,The New Breed (2003),,50 Cent,"(50 Cent)
Yeah... 50 Cent, Lloyd Banks, Tony Yayo
G-unit!
(Lloyd Banks)
This rap shit plays a major part of my life
So if you jeapordize it I got the right
To send a mothafucka at you tonight
G-Unit! And I ain't stoppin' to my clique poppin'
Swimmin' in barrels of money
Ma could walk around wit' a head up and challenge you dummy
It's funny, niggas rather see you sufferin' and hungry
I'm hungry as hell, skatin' with another nigga's money
You lyin' your ass off, you know you ain't that tough
I'm pullin' your mask off as soon as you act up
You know what I came for, it isn't the game ball
Artillary that's about as long as a chainsaw (Lloyd Banks!)
By the way, this feels like I'm dreamin'
Forty cal. under my pillow, condom feelin' my semen
The physical presence of a female, form of a demon
That's why, I fuck 'em and leave 'em
Get my nut while I'm breathin'
'Cause they thought they'd catch me slippin', now I'm duckin' and trippin'
That's a thousand dollar outfit what the fuck is you rippin'?
You trippin', more records could get my ass in position
Death wish for no religion whether Catholic or Christian
Listen, I went through my ambition in and out the kitchen
With probable cause, it's probably sendin' out to prison
You got soldiers, but you still gotta respect ours
We got more four five's and nines than a deck of cards
(Tony Yayo)
You can take me out the 'hood, but can't take the 'hood out me ('Cause what?)
'Cause I'm ghetto, I'm ghetto
Niggas hate when you do good
But when you broke, your friends and your enemies
They love you, they love you
""Cheche, get the Yayo""
Picture me being crack, out of town, trips on the trail
""Cheche, get the Yayo""
Picture me being crack (Tony Yayo!)
You can sift me, cut me, I'll turn you to a junkie
I'm the number one seller in the whole fuckin' country
Wallstreet niggas, they cop me on the low
White boys don't call me coke, they call me blow
It's time to go, on the bus, the train, the plane
I'll smuggle, I'm nothin' but trouble
I'll make your money double
Cook me in baking soda
I'll turn your Hooprock into a new Range Rover
I'll pay all your bills and fill your 'frigerator
Feed your family, turn your man into a hater
Put me in your doorpanels or your stashbox
Put me in your Nik's, Timbs or Reeboks
If you cop three and a half you hustlin' backwards
Cop a hundred grams, you movin' forwards
You tryin' to move more birds
...In PA all day, on the corner of Third
(50 Cent)
You can take me out the 'hood, but can't take the 'hood out me (what?)
'Cause I'm ghetto, I'm ghetto
Picture me polishin' pistols, I'm comin' to get you
The shells hit you, you screamin'
Think I'm playin'? I mean it
Man, I done bought all these pistols
Let's get it poppin'
Start wavin' my emboies shell cases get the droppin' (C'mon)
Like if it's down the corner, I got too much pride to hide
I'm outside, gun in my pocket just stunnin' I'm stoppin'
I'm dyin' to pop it, I'm young and I'm restless, you know my contestants
As the world turns, there's lessons to be learned
Count all my blessin's, clean up my weapons
I'm ready for war, the strong survive, the weak will parish
I told you before, hoes they compliment me now like ""50 nice chain""
Bellagio, twenty grand in chips at a dice game
Burn out, can't stop gotta watch MTV, BET
Nigga you see me!
I wonder if you mad, 'cause I'm doin' good
Or 'cause niggas feelin' me more than you in your own 'hood
And it hurts 'cause you love 'em and they don't love you back
'Cause they know you just rappin' and you don't bust a gat
You pussy
Yeah, explain it to niggas in your hood nigga
They know you fuckin' frontin' nigga
Talkin' like gangstas on a record, I see you nigga
Niggas know me nigga, ask around in my 'hood nigga
Read the ""Daily News"" nigga you see them talkin' about me nigga
I'm in the middle of all kinds of shit
Pussy, let's get it poppin'
G-G-Unit, G-G-Unit, G-G-G-Unit, G-G-G-G-G-G-Unit, G-Unit!"
6,A Baltimore Love Thing,2005,The Massacre (2005),,50 Cent,"A Baltimore Love Thing
Drum roll ...
Intro: She loves me, She loves me not - yeah - She loves me not...
The fiends need me; I ain't around they bones ache
Detox, Rehab, cold sweats - watch 'em shake
I'm not that ""genie-in-a-bottle""; I'm in a bag
Take one hit and slide off to the Land of 'H' man
When we first met, I thought you'd never doubt me
Now you tryin' to leave me. You'll never live without me
Girl I'm missin' you. Come and see me soon
Tie your arm up, put that lighter under that spoon
Now put that needle to your arm, princess stick it in
Relapse I'm back, bitch don't ever try that again!
All the shit I did for you I made you feel good
We have a love thing; you treatin' this like it's just a fling
What we have is more sacred than a vow or a ring
You broke my heart you dirty bitch I won't forget what you did
If you give birth, I'll already be in love with your kids
Listen, I don't give a damn if your ass start smokin',
But we have a bond and it's not to be broken!
We got a love thing; girl you tryin' to leave me but you need me - can you see you're addicted to me?
We got a love thing; I can take you higher girl, fuckin' wit me you can be all you can be (2X)
Baby you know on the low your sister been eyein me
I'm good lookin', so you know, soon she'll be tryin' me
I heard she bisexual; she fuck with that girl
But boy oh boy fuckin' wit me is a whole 'nother world
After the first night she'll fall in love and then chase the feelin'
I hung out with Marvin when he wrote ""Sexual Healing""
Kurt Cobain... we been good friends, Ozzy Osbourne too
I been with Rock Stars - see you lucky I'm fuckin' wit you
I chilled with Frankie Lyman, and Jimi Hendrix's crew
See, this is new to you, but to me, this ain't new
I live the lavish life. Listen, if the mood is right...
Me, you and your sister could do the do tonight
I never steer you wrong; you hyper I make you calm
I'll be your incentive, a reason for you to move on
Let's make a date; promise me you'll come and see me
Even if it means you'll have to sell your mama's TV
I love you, love me back - no one said lovin' me be easy
I love you.
I got you bare-footed on glass, chasin' a dove
That monkey on your back symbolizes my love
Your friends talk bad about me bitch... you sit there and listen to 'em
Over and over you hurt me, my love is unconditional
They talk to you when you up; you down they got nothin' to say
But when you call I'll come runnin', I'll always take the pain away
They set you up to let you down; they crowned you prom queen
They know about me; behind your back they call you a fuckin' fiend
Can we just be alone? So I can kiss and hug you
Push me inside you. No other man can love you like I do
Call me Daddy; I'll make you feel good - I mean real good
I find pleasure in pleasing you like a real man should
It was written long before us; it was carved in a tree
Forever me and you baby, we were meant to be
There's more to life than laughter - what brought us together was fate
And we'll be hand in hand when you walk through those pearly gates
And to see to that, I'ma do whatever it takes."
7,A Lil Bit Of Everything U.T.P.,2004,50 Cent Is The Future (2004),,50 Cent,"(Skip)
Everytime I'm in the kitchen, you in the kitchen
Let me finish this brick, 'fore you put that fish in
Listen, I know we just came from fishin
But I'm on a mission, you see, there's money that I'm missin'
I got 'em posted, so the move and I'm gonna murder y'all
You and all the trouble goin' through by servin' y'all
And only cause my man heard of y'all
Other than that, shit, y'all won't get served at all
(Tony Yayo)
I went from oodles and noodles to lobster and shrimp
I went from bare bubble coats, to brand new minks
And yo my neck upgraded, my wrist's upgraded
I stay C of F, I ain't got time for Jacob
I'm still on the strip, tryin' to get my grims off
Nigga tryin' to flip and it's a Mexican stand off
I put a hole in your grill, with the nine mil
Dressed in all black, lookin' for souls to steal
Little bit of dust, little bit of cocaine
Little bit of dro, little bit of heroine
A littlE bit of ecstacy
That's why your bitch want to be next to me
We sell a little bit a everything
(Young Buck)
I put the two Mags, up to your doo rag
And rockaby baby, I'm in the blue Jag with new tags, in case you wanna chase
I never knew that, the impact, comin' up out a Desert Eagle
A make a nigga wob and wiggle screamin call my people
We got these fiends pourin liters, and they shootin needles
Need to be takin' your connection, 'cause we got it cheaper
Shit I ain't new to this, I met this air stewardess
Who knows the ins and outs on how to get it in and out, nigga
(Lloyd Banks)
Ya if I put a dress code all black, nine how's and a laser
And the party is an ink pen, bottle, or a razor
Your hollerin for praise ya, catch me in the hood with a model named Taysha
And the swallow game major
These cowards ain't gangsta, they tellin' you lies by sellin you dreams
And they ain't fill ins, they fiends
Plus they rat, and it's too hot to chill in the sun
My pops 39 years old, and still on the run
(Juvenile)
Wodie what you want, you want dope, you want coke
Wodie what you want, you want X, you want dro
Shit you got beef, I got a tec and a fo'
You feelin' hot and moist, I even get you a ho
If you don't got no whip, I get you a car
If you don't got no skills, I get your some more
My nigga we don't cut it, we serve it raw
Got anythin' you want, play us awful hard
(50 Cent)
My 22's bling, so niggaz scheme
745i clean, this little shell nigga, fuck a triple beam
Coffee pot to cook coke, Joe to smoke, I was born to loc
Method cut the coke, 50 no joke
I ain't ""Scarface"", no women, no kids, I don't give a fuck
Better teach that bitch, and that little nigga to duck
With a P-90 Ruger, I put shots all through ya
If you survive you gonna feel what talent do to ya"
8,After My Chedda,2002,"No Mercy, No Fear (2002)",,50 Cent,"When you frown at me is it because I won't provide for you girl
Your after me cheddar
And you friends they see it to screaming we know what your up to do girl
I'm after my cheddar
(50 cent)
I gave you your style Gucci this Fendi that
Burberry bag shoes and the hat to match
I like the way it look but bitch I ain't buying that
I hate to be the bearer of bad news but no more Prada shoes
When I just wanna chill you wanna go out
See me parle with some other chick you wanna show out
You say I'm wrong when I dog yo ass like I should
Now you reminisce about all the time I treated you good
(Lloyd Banks)
When you think about me grinding my fans
You even got more watch on but it's to much time on your hands
They say behind every good man is a woman
So tash pull up stash the cannon linen
I'll never be your chofuer to the mall
You'll learn to appreciate CD's and posters on the wall
Fatal attractions is mad real
Last bitch I deaded got mad and swallowed 50 Advil's
(Tony Yayo)
They say money make the world go round
Material things make a hoe go down
I see you in your Prada Gucci and BCBG
Bitch I'm rich but I don't trick on GP
That's 5 dollar dresses and 10 dollar skirts
Bitch play the strip and put in work
Birds wanna have my baby since I signed my contract
Now I got to double up in case the condom snap
(50 cent)
Look don't ask me for shit man
I ain't got nothing for you man what?
Bitch what the fuck you mean I can't sing bitch
Bitch I'm Luther Vandross in the shower
G-unit!"
9,All of Me,2007,Curtis (2007),,50 Cent,"Mary~
Now if I give ya all of me what ya gon give me back ya body is callin me got me fellin like a fein on crack gonna make me fall in love now why you wanna go and do that now if I give ya all of me tell me what you gon give me back
50~
Lets start with the moon and the stars whateva you into the money I inqure mama make it all simple flashback 03 paparatzzi flashin flicks I moved away hustle hard now I got a sick stash tell me you miss me baby come here and kiss me (muah) it just happened so quickly feels like I hoped off a bus and got in a bentley its *&#!
My music even though it's so smooth you can hate me 'cause I hurt you but I ain't mean to do it he predicted it all I don't know how he knew it he said runnin' from Hollywood and liar liar liars he said them!#%%&* will get you heated the niot like a riot fastforward to 06 still on fire the world is still turnin' my records is still earnin doe come quicker and quicker flow get sicker and sicker straight up and down baby I'm a special kind of nigga
Mary~
Now if I give ya all of me what ya gon give me back ya body is callin me got me fellin like a fein on crack gonna make me fall in love now why you wanna go and do that now if I give ya all of me tell me what you gon give me back
OH give it (give it) baby (baby)
Give it (give it) oh baby
Give it (give it) baby (baby)
Give it give it baby (oh baby)
50~
Life is short baby you apart of my dreams I ain't farrari horses my laborghini leans so mean I have niggas waitin on me got gave me a gift I'm supposed to be rich I'm supposed to ride through the hood make and take when my homies put in work they supposed to get hate when the pull the chain they think we gon bomb some shit I ain't make that up this is how its supposed to be kid you should feel like a life when they give back that time when I smile ya smile should be as big as mine to know me is to love me I'm one of a kind even when you hate me ya love me forever you're mine
Mary~
Now if I give ya all of me what ya gon give me back ya body is callin me got me fellin like a fein on crack gonna make me fall in love now why you wanna go and do that now if I give ya all of me tell me what you gon give me back
OH give it (give it) baby (baby)
Give it (give it) oh baby
Give it (give it) baby (baby)
Baby baby (oh baby)
What ya gonna give me back your gonna make me fall in love OH"
