,song,year,album,genre,artist,lyric
0,'94 Ho Draft,1994,Regulate...G-Funk Era (1994),,Warren G,"Ladies and gentlemen, pimps, playaz and hustlahs, welcome to the 1994 hoo
Draft.yeah, yeah what's up what's up 'cause what's up yeah oh and I could tell you
Today that fellas that we got a very very good draft fo ya all we got ah ladies
Like kim the keeper straight from south gate we got ah tammy she too young
Right now but that's all right the bitch still got some good pussy oh yes she do
Okay also we got vivian the video hos that's been in everybodies videos ya know
What I'm sayin' (she ain't got paid yet) ain't never gonna get paid either that
Bitch also we got ah aimee ah that jawjackin bitch from the west side long
Beach ya know what I mean that bitch just be talkin' like a mutha funker don't
She? okay then also we got melanie ah from the north side a.k.a yeast, or
Wonder bread, or ah flame on her junior high name, (burn baby burn) and she has halitosis."
1,And Ya Don't Stop,1994,Regulate...G-Funk Era (1994),,Warren G,"For 94, I'm a just glide and swerve
Hop up the streets with my heats so observe
It's me Z the whee Z, the Warren to the G Z
The deuces and the treys as kickin it through E-Z
And the beach and the bottle where I'm found
Fuckin' around with the muthafuckin Dogg Pound
Fuck it, Warren's goin' wild
The G Funk Era and the muthafuckin G Child
Funk, melody, rhythm, base
He which is I is in the muthafuckin place
So let me get away, come again like this
I can turn into a murderer so please don't diss
'Cause if you do, you know where I'm from
Rat tat tat tat diddy dum diddy dum
And ya don't stop, and ya don't quit
And ya don't stop, and ya don't quit
Well let me grab my stick and shift to first
I'm spittin' plenty game on my second verse
Well let me switch to second just for the rough ride
L-O-N-G-B-E-A-C-H Eastside
Where the grass is greener, at some times
And I don't do shit but drop funky rhymes
Now I'm in neutral, shifting to third
'Cause what you hear is what you heard, nigga
From the G-Funk, G-Funk, 'cause we funk, we funk
And if you step muthafucka you get stomped
Like 1, 2, 3 I'm shiftin to the fo
But you don't hear me doe
I said humpty dumpty sat on the wall
I guess its time for me to sum it up for all
G Funk, G Child, gangsta groove, locc
Past tense it's the Indo smoke
Choke, off the shit that I'm doin'
I'm droppin' this shit for you and you and you and
'Cause it's me, the Warren to the G
Comin' in 1994 you see
The LBC and that's my locale
Check it out check it out check it out now
You know what I'm sayin', Warren motherfuckin G beeyatch
You know what I'm sayin', it's 94 that's how we doin' it
Ain't nothin' but a Long Beach thang doe big baby, hey
G-Funk, where rhythm is life and life is rhythm
Check me out doe, beeyatch"
2,Annie Mae,1997,Take A Look Over Your Shoulder (1997),,Warren G,"Warren G-
1, 2 buckle my shoe,
3, 4 we gotta hit the store,
5, 6 back in the mix,
7, 8 Warren G and Nate,
Nate Dogg-
Bang to the boogy say up jump the boogy
To the rhythm of the boogidy beat
I don't love no hoes they know so they don't be fuckin' wit me
Warren G-
A long time ago I met Annie Mae
She was killing me softly like everyday
Penetentiary steel, was stickin for real
Blockbustin through the walls
Now I'm makin' housecalls
Nate Dogg-
I thought I'd met a lot of scandalous women, and then I met Annie Mae
Kinda thin light skinned big butt (yes y'all)
But she didn't have a place to stay
Warren G-
She was shackin at mine and shackin at his
Blowin' my socks, tellin' his biz
Nate Dogg this and Nate Dogg that
213 skirt, and we stay intact
So I told the homey Nate don't be mislead
Ain't no fun if the homey can't shake a leg
So I went to the house and knocked on the door
And guess who it was, Annie Mae you H-O
I once knew a trick named Annie Mae (ooh)
(I once met a bitch named Annie Mae) (Snoop Dogg)
I once knew a trick named Annie Mae (ooh)
I once knew a trick named Annie Mae
Nate Dogg-
Remember yesterday I asked you baby have I seen you somewhere before
With just one look, the pussy was took
'Cause I make music that you adore
Now I'm not sure and I might be trippin'
But in 94 I heard a song
It ain't no fun unless the homies can come
So Warren G put a condom on
Warren G-
Now Nate you know me and I know you
I got rubbers, gin and socco (?) too
So let's do the do, on how we do,
Never my boo, just a freak that I knew
Warren G-
Annie Mae, Annie Mae, you ran out of time
Warren G and Nate Dogg blew your mind
'Cause if you trickin wit him
You trickin wit me, you trickin wit the 2 1 muthafuckin 3
I came from rags to riches
Trustin no snitches
That's how we do on 9 S I X bitches
Buck em, fuck em, and put 'em in the trash
And jump in the 600 Benz and dash
Nate Dogg-
Hold up Warren before you go just a couple things I got to say
Are you goin' home, I wanna be alone
You need to take this... hoe"
3,Back Up,1997,Take A Look Over Your Shoulder (1997),,Warren G,"(Now, now go)
You got me fucked up
(Why?)
'Cause I'm a bad muthafucka and you can't understand me
MCs don't know how we puts it down
K-9 and P-C from East to North town
We be bound by honor, or whoever wants to step
So either ya keep on steppin or we takes ya automatic weapon
(P-C)
Nigga back up, see I came to stack up
Bodies like hits, what's that
You wanted to act up, and diss the click
A sister, put my niggaz up wetted the grave
You wanted to get richer, so offer your beats that made by fade
Cascade, because yo ass is soapy
Mr. Locc you wanna be Mr. low key
When yo ass used to be low key
You know me so act like you know my click
And I'm an assist to kick the shit that you and MD could never get with
And speakin' of MD, another nigga that used to be from my click
Act like he double to down, but when it go down, go down he splits
This is strictly for all of y'all niggaz that diss me
Y'all think y'all skills is up to par well stars come out and get me
Now we got these niggaz out on the streets, and a place to lay my gun?
I guess you could say that I got hostess, in more ways than one
Y'all keep clickin and clickin, my chips continue to stack up?
But while you dissin and dissin I'm a tell you niggaz to back up 'cause
MCs don't know how we puts it down
K-9 and P-C from East to North town
We be bound by honor, or whoever wants to step
So either ya keep on steppin or we takes ya automatic weapon
(K-9)
(Hey K-9 what about Mad Dog)
Well let that nigga loose
No better yet just let the dog loose
So he could fetch, goin' to Vegas to see what he catch
Ain't gonna be no cases
Just tell him what he faces and watch him snitch
While I lay up in Vegas
Its either the Raiders or the switch so he did
Switched over like electric shocks
Moms got on pregnant static
So they suspected pops
Did they know about me
Mr. K-9 see, clicksta in deep, in your Mama's panties
Did they know that I was bangin' it
Where at, oh your Daddy's bread be back
Now she's pregnant and I ain't claimin it
Your husband's cryin 'cause he feels like a chump
What, your son is fit to die and he ain't nothin' but a punk huh
She can't sayin' nothin' 'cause she needs my support?
But not for the child see the hooker's tryin' to take him to court
And I'm a body like Jah
But accept with mo mil
We probably wasmeant for each other
'Cause we two niggaz they gave us both jams
MCs don't know how we puts it down
K-9 and P-C from East to North town
We be bound by honor, or whoever wants to step
So either ya keep on steppin or we takes ya automatic weapon
So when the east is in the (when the north is in the house)
Back up, back up
So when the west is in the (when the south is in the house)
Back up, back up
So when the east is in the (when the north is in the house)
Back up, back up
So when the west is in the (when the south is in the house)
Back up, back up
So my click is in the (when da click is in the house)
Back up, back up
So when K-9 is in the (when K-9 is in the house)
Back up, back up
So when P-C is in the (when P-C is in the house)
Back up, back up
When Warren G is in the (when Warren G is in the house)
Back up, back up
MCs don't know how we puts it down
K-9 and P-C from East to North town
We be bound by honor, or whoever wants to step
So either ya keep on steppin or we takes ya automatic weapon"
4,Can You Feel It,1997,Take A Look Over Your Shoulder (1997),,Warren G,"Lbc d-e-f-g
I'm H-I off J's bellin in a T-shirt and blue jeans
Well few dreams ever come true
Well some do, so nigga say (I'm from the beach too)
Long Beach City G's Funkin
And it's a pity who many we's punk and drunk
In a hotel lobby at a town near you
Housekeeper's high, and drinkin' beer too
Cleared through the night
My niggaz movin with the skirts
In the boxes, houseshoes, and slingshot t-shirts
Its gettin' late, I'm runnin' out of gas
So Warren G tryin' to see what's up on some ass
Really doe, y'all enjoyed the show, good
But what you know about these Long Beach boys in the hood
Should anything go wrong and niggaz act shitty
Remember fool this is Long Beach city, punk
Can you feel it
Can you feel it
Can you feel it
Can you feel it
Well it was boring until Warren G came on the scene
Put the G-Funk with the gangsta lean
It's been about 2, is he comin' through?
I dropped this one just to show you I'm true
People say Warren where'd you get that speech
In the sandy city right down by the beach
Speak, don't speak on, if you wanna speak on
If you wanna get yo groove on, LOC on
To the fullest, bounce rock skate,
A new time, a new rhyme, legislate
That's how we do it in the S-I-X
LBC, 213, and we straight shit at the next
So lets party hearty like Lodi Dodi
We punkin yo city you betta ask somebody
'Cause if you don't, we ain't showin no pity
More bounce to the ounce and we rockin' yo city
From city to city and state to state
This DJ gonna regulate
So playa hate if you want to, I don't give a fuck
I'm still G-dubb and I'm subbin in my truck so good luck
And have a nice trip
We got y'all town locked down like a vice grip
I'm on the dice tip, shootin C-notes
A dollar and the bones hollerin G-oats
'Cause we quotes, them gangsta raps
That y'all paid for, and we banks the snaps
We perhaps, if you could see what I see
Then you might be gettin' paid like this nigga Warren G
So fee, fie, foe, I'm from, the LB to the C nigga don't act dumb
Outta site, outta mind, so where y'all gonna put us
Warren G and the Twinz and my girls Five Footaz"
5,Do You See,1994,Regulate...G-Funk Era (1994),,Warren G,"The blues has always been totally American.
As American as apple pie ... as American as the blues
As American as apple pie, the question is why?
Why should the blues be so at home here?
Well, America provided the atmosphere
(You don't see what I see)
Everyday as Warren G. I take a look over my shoulder as I get older
Getting tired of mothers fuckers sayin' ""Warren I told ya.""
(You don't hear what I hear)
But it's so hard to live through these years with these funny bunny niggas,
Ain't shit changin'. Got my mama wonderin if I'm gang bangin'.
But I don't pay attention to these father figures. I just handle mine,
And I'm rollin' wit my niggas. Off to tha V I P, ya see, Snoop dogg and Warren G.
Unbeliveable as time just flies right before your eyes but you don't recognize.
Now whos the real victim? Can you answer that? The nigga that's jack
And all the fool getting jacked... yeah
(You don't see what I see)
Everyday as Warren G
(You don't hear what I hear)
But it's so hard to live through these years
(X 2)
Another sunny day.
Another bright blue sky.
Another day another mutha fucka die.
These are the things I went through when I was growing up.
There's only one hood a nigga should be throwin' up.
And I knew it, there really ain't nothing to it,
Thinkin' every fools gotta go through it.
Now lets go back, (how far?) back in time.
Drivin' to these hookers tryin' to mack for mine.
I remember when we all used to stop at the spot.
Back then my nigga name was Snoop rock. huh,
It's all so clear, '87, '88, then '89's tha year.
Ya say everywhere we roll, you can say we roll thick.
Way back then 2 1 3 was a clique.
Somethin' the state paid I was just a young haul,
Warren G, Snoop Rock, and Nate Dogg.
(You don't see what I see)
Everyday as Warren G
(You don't hear what I hear)
But it's so hard to live through these years
(X 2)
You make me holla,
Get out tha game, too many mutha fucka's know my name.
While Snoop Doggs servin' time up in Wayside,
I puts in down on the street, don't try to take my.
I had to re-ensure tha homie that he wasn't alone.
We talk, and him and Nate conversate on tha phone.
He kept sayin', ""Nigga it won't be long, B-4 a little skinny nigga like me'll be home.""
I said ""Snoop, thangs then changed. It's not the same, we need to get up out the game.
'Cause we can get paid in a different way with you kicken dope rhymes and I DJ.""
Well as time go passed, slowly we tried to make it.
But things are getting hectic, I just can't take it.
Should I A. Go back to slangin dope?
Or should I B. Maintain and try to cope?
Or should I C. Just get crazy and wild?
But no I chose D. Create the G child.
It's be on ever since with me and Mr. Grim,
This shit is getting so hectic that I can't even trust him now.
What would you do for a warren g cut?
Would act tha fool and nut the fuck up?
Back tha fuck up?
Act tha fuck up?
Niggas talk shit they get smacked tha fucked up.
Striaght up!
(You don't see what I see)
Everyday as Warren G
(You don't hear what I hear)
But it's so hard to live through these years
(Until fade out)"
6,Dollars Make Sense,1999,I Want It All (1999),,Warren G,"(Feat. Kurupt and Crucial Conflict)
(Kurupt talking)
Y'all don't know nothin' about this HEE-ARE
Hahahahahahaha, yeah! It's Kurupt Young Gotti
Hehaha, sup Warren G? It's my homeboy, huh?
With my niggas Crucial Conflict, huh?
Chillin', huh? Bumpin, puffin on a little bit of that Hay
*TOKE* Ah
(Warren G)
Dollars make sense, it's all incorporated
I'ma get it all, since a BG I done did it all, was in it all
When I first thought I was in the wrong
Couple tokes, alcohol
Got everything I need, Hennessey and weed
Since my arrival, based on this modern-day survival
Ev'rything is technicality, everything based on reality
So how do I get paid, all these licks nowadays
They want me laid, dropped and plagued, AK mouth is sprayed
It's like I'm blind, and I just can't see
Warren G, I'ma holler at the homey Shorty B
""Shorty B IT'S ME!"", G Dove, I'm out to make a grip
So call Crucial Conflict and let's make us some bomb shit
(Wildstyle)
Look at me on the M-I-C
Tryin' to stack my tips, comin' in a big ole ride
With all that bumpin side, livin' up in your eyes, surprise
Hangin' on the corners where the young brothers be comin' up
The gangbangers be gunnin up, the type of brothers that roll with us
High tech with much respect, with all that G's swarmin
Like G-Funk in your eyes and make you see we about that cashflow
Put 'em in a lasso, don't try to sweat, no joke
We illa your side, in the back we get hot, trade bump and hit 'em up
With the jigs up,
Freaks from the West to the east to the South where they chief
Kurupt in the mind, Young Gotti down with the raw dog Flict
I ain't no tricks, nigga Wildstyle, enemies get closed down
We rock the shows, slammin' do's, Cali to Chi-town
(Coldhard)
So chop it up, I'm gonna kick some shit about what's goin' on
Have to get my loot up so I suit up
Looked in the mirror said to myself ""It's gon' be gone""
I'm sick of goin' through the things that I have to do do
Cops are happy to jack fools, I'm strictly ever gon' gank move
I hate to be the one that have to take it
But you best believe I'd die to make it
Anywhere in the world I'm standin with my pockets naked
Set it out set it out, that's what I'ma holler
On some slick, tryin' to come up quick, witta trusty ole dollar
Watchin you watchin me, hope I slip and bust my knees
I'ma have to greet you at the pond, you should just be thinkin' C's
Comin' out at ease, no matter what I'm still hard to please
Flap flappin sky, be real till the day I leave so sneeze
Chorus: Reel Tight
Talin bout that money, dollar
Gettin' that money, gettin' paid
*Repeat x3*
(Never)
We, smackin and stackin, packin, strappin, what's happenin'? Rollin'
Cruise-controllin, the fo' and Daynes swell up
Get the hell up, trump-tight click just in case I'm lavish
Tryin' ta fade me, you crazy ladies, babies created
Men are shady, straight make me drink till my thoughts get swavy
I think, maybe if I blink things will get back gravy
But loccs in the hood they lord be makin' it hard so lately
But I gotta stay at the table, 'cause that raw dope is that will pay me
Westside of California, on these corners pimpin' daily
Retire out on the lakefront, smokin' blunts
Takin' the sale G, trap me like the male be
To the Westside I'm a mental, all the regulators trail me
(Kilo)
Don't kick it out, let's do this
Comin' out the do', we down to wall
Gotta get in the business,
Tell me what's the call, we to the fall to ball
We can't just fold up,
Gotta whole bunch of homies dependin on this, sho'nuff
This only hustle is for brothers,
Feel to bring the business so slow up
And we still up on a mini gold rush
Ready to make the world go down
Bound to get it 'cause I'm down wit it
Now shitty the city, Conflict's causin critics to bite tongues
Ain't the one, with the shotgun, showdown
My town to your town on the rebound for them papers
(Warren G)
It's like brother brother brother how you make 'em get down?
From the LBC to the Chi-town, Westside straight gettin' down
Hittin switches and we checkin' all snitches
Gettin' all riches, and flossin in our pictures
It's time for some new hits, one of us
You know I spit some coast to coast love from your homey G Dove"
7,Dope Beat,1999,I Want It All (1999),,Warren G,"I need a dope beat, a dope beat
Just holler at your boy named Warren G (I wanna)
A dope beat (with my), a dope beat
Just holler at your boy named Warren G
Y'all know me, the G from the 213
LBC, Regulatin, skatin' on all them Dayton's
Bankin' back on them singles
With the Henney's and the Jimmy's
Like I'm all tall, short, and like dark, thick and skinny
I'm a ladies' man, Mercedes and
Proper ice, livin' nice, as far as gravy stands
Ain't nuttin' changed, me and Snoop's still the same
Plus Nate droppin' weight with the classic thang
Now I remember way back, at the bachelor set
Slip my brother, Dre, Snoopa tape it, put it in the deck
The party started bangin' and they both shook hands
And made it legitimate for the G-Funk Fans
Now after that, they hit the top when The Chronic dropped
Remember 187 on the motherfuckin' cop (I wanna)
It's Still A G Thang (with my), where we hang and claim
East Side till I die, or I rise to fame
I need a dope beat, a dope beat
Just holler at your boy named Warren G (I wanna)
A dope beat (with my), a dope beat
Just holler at your boy named Warren G
I got my own style, I got my own pal
If you don't know now, then nigga, you better slow down
Spendin bills, bendin' wheels, people think I steal
Puttin' cameras in my grill everywhere I chill
Kick back, I spit facts, and twist our tracks
Drank gin with The Twinz, see a bitch I mack
'Cause if I ain't in the studio, I'm deep in the hood
Anyway gettin' paid like Warren should
Dre teachin' me to work a beat, now I'm bangin'
And I been with platinum, now my album slangin' (I wanna)
Hangin' with my G's (with my) from the LBC
With the homies that I know will put it down for me
Well known, keep my chrome, and I hold my own
But I'd rather roll and flow and be holdin' the shows
With the G-Funk Family earnin' a Grammy
You can't see what I see, and don't understand me
I need a dope beat, a dope beat
Just holler at your boy named Warren G (I wanna)
A dope beat (with my), a dope beat
Just holler at your boy named Warren G
I'm on my way to the studio, beatin' and thumpin
Scoop D from Long Beach got some heat from Compton
Hit the Eastside manages to see what's crackin'
Got some MGD, just watching for jackin
It's a hard knock life, ya heard Jay-Z featuring Annie
No Limit like Snoop, that's when the grammy
Hit the Beach in the Long gray and black caddy
Reminiscing on my great escapes through the alley
Damn I done grew up and things done changed
Just shakin my head, trippin' off the game
It's so much you gotta do to keep it real out here
But ain't nothing guaranteed 'cause ain't nothing goin' give
(Chorus x3 to fade)
I need a dope beat, a dope beat
Just holler at your boy named Warren G
A dope beat, a dope beat
Just holler at your boy named Warren G"
8,G-Funk Is Here To Stay,2001,The Return Of The Regulator (2001),,Warren G,"Definitely On The G Funk Vibe
This rap shit got my own cactuses
Like we never slept on the same mattresses
Young age football practices
Biscuit shine, Five of the ones on the waistline
I ain't worried about no platinum change
I'll give ya a 59 with a batman ass go range
(Mumbled speech)
Ok, musta being the zodiac
V.I.P I really don't let this shit get to me
I just flip tracks, spit facts
Get relaxed, with G Funk laxed in the back
We stay in the ghetto, havin' a tap with rugrats
Cats, and taps, with flaps
Foul language, old English it's dangerous
It stays the same and never changes
(Crumbling cries)
G Funk is here to stay
I pop a cap
Domino's and spades
With a bag of gange and smoke it all day
There's a staircase, it's a true 21
Here's a toast to the thugs
High drop 4 sheezy, drinkin' ma bud
I still love n-a-t-e
Rollin' from the sheezys
With a dress code like dubsy and a circle arse
G-Funk is here to stay"
9,G-Spot,1999,I Want It All (1999),,Warren G,"(Feat. El Debarge and Val Young)
(Warren G)
I'm the illest, what?
I'm the illest, Warren G, uh yeah
I'm the illest, the illest you've ever seen
Haha check this shit out do'
Peep game, look, hmm
She used to tell me that she loved me all the time
I turned to her, and say that I'm
Infatuated, concentrated on cuttin' it up
Body bustin' out your blouse, don't button it up
Me and you could make a getaway, up in the cut
I'm just a squirrel in your world, bustin' a nut
Slide in the passenger side and creep to the tilt
And maybe you could get a chance to sleep on my silk
Because you come with, that A-1 shit
The kind I wouldn't mind havin' a 20-year run with
I'm done with these games, played by these dames
I could exit the drama the same way that I came
'Cause I gotta put it down for my sons
So you, skanless scuds gets none of my funds
'Cause I can't be in love with my pockets on fee
Get the money, the power and the rest come for free, you know
Chorus: El DeBarge, (Val Young)
I let you hang (I let you hang around)
So you could see (so that you, could see)
You tried to switch (Understand, tryin' to switch)
The fool out of me (and make a fool, of me)
I meant (So I guess I'll have to let you be)
Baby (Baby baby baby baby you know)
*Repeat*
(Warren G)
Now baby, look at the time
We gotta do what we gotta do
The club's about to close, don't you wanna ride
In a Rolls, Royce? Make it real moist
Take the Rolls to the jet, take the jet to my yacht
Letcha kick it for a week in my Caribbean spot
Coconut milk bath (bath), private beach, first class (class)
Water clear like glass (glass), waves ticklin your ass
Cut the act baby, you need a change of pace
I deliver you a whole new world of taste
Guaranteed to put a different timid look on your face
Put the arch in your back when I'm grippin your waist
Warren G keep flippin the bass on key
'Cause you rollin' with a G when you're rollin' with me
Easily I spit game to make it hot
Headed straight for the motherfuckin G-Spot, you know
(Warren G talking)
See now look at the picture
You got a lotta women out there preaching about
How they ain't a bitch or a ho but now
If you carry yourself in a fashionable matter
Game can be matched both ways by a player
Not a player hater, please believe it
It's told not to be sold by me
You know what, it ain't my fault
*Val Young crooning*
I let you, hang around, so that you, can see
*Warren G and Eve phone conversation*"
