,song,year,album,genre,artist,lyric
0,'B' Word,2007,Made (2007),,Scarface,"Let's do it!
They sayin' 'Face you need to slow down dude
You refer to hoes as bitches and that ain't cool
I tell 'em look out fool, I ain't Al Sharpton
My name Brad Jordan, I don't beg pardons
Don't get me wrong I got respect for black ladies
But black hoes and ladies, ain't the same baby
And lately, I've been checkin' out new prospects
And you can catch me in the projects
Huntin fo' that Next Top Model
Cute with a shape like a coke bottle, suck a dick and won't swallow
Yeah, yet that's degradin her still
To ladies, if you ain't fuckin' her the next nigga will
Instead of trippin' on who callin a bitch
You maybe need to focus on who fuckin' his chick
If you a weak nut, we bop, never hit a G spot
Nuttin too quick and scared to play with the clit
Pullin her hair while you callin her bitch
Shit you missin' the point, you need to ask what she want
(Want me to stick my finger in your booty) {OKAY~! }
You can't turn a hoe into a housewife
I don't give a fuck what she look like
She can have an ass like Buffy
And a face like Janet, head so good you can't stand it
But you still can't manage
To keep her off of them streets, 'cause she's skanless
Fuckin' every nigga with a bankroll
How you fall in love with a stank hoe
Now you're blowin' up her cell phone and she won't answer
Trippin' for a dude like a dancer
And that's sick like cancer
Man this bitch is trash and he's at her
Dawg you dealin' with a fucked up babe
With fucked up ways, it's fucked up but hey!
A new day, and niggaz gotta listen
And if she got some dudes that she hang with
You better watch that bitch 'cause she dangerous
A lady got a man at the house
A bitch got her best friend man in her mouth
And she don't give a fuck about a ring
The kid, the 15 years this brings
She'll fuck you in your house in the bed you're about
Leave the sheets full of drip stains, wash her pussy off
Then bounce, now you at home with a soft dick
Feelin' bad, try to shake this bitch
But you scared of the outcome, she might tell
Or get drunk, feel guilty, come by and try to sell it
To your wife like it's yo' fault, duck at all costs
And if that ain't a bitch, what's a bitch, I'm lost
A hoe will jump dick to dick to get paid
But a bitch fucks yo' shit up so just wait
Cain't nobody else prosper, she live for the gossip
Hates to see the next bitch happy so she knocks her
She hates yo' man and hates yo' friends
But a bitch is a bitch is a bitch in the end
(I know you you ain't call me no bitch)
(Talkin' about a ring and a dick in the mouth)
(You just a bitch-ass nigga)
(Fuck me not your wife bitch!)
(I don't have a beef motherfucker)"
1,11-09-2000,2000,The Last of a Dying Breed (2000),,Scarface,"Yeah, I'd like to, umm...
Take time out to tell everybody that been bumping my shit for the past thirteen years, that I love that man, I appreciate that
Every motherfucking body that was in my corner, comparing me to the greats, you know in the game, I appreciate that too man
Umm...
I've got too many motherfuckers to name, so I'll just say I appreciate y'all, y'hear?
Alright
I'm gone"
2,11-09-70,2000,The Last of a Dying Breed (2000),,Scarface,"Push, push, push... Is a boy!"
3,2 Real,1998,My Homies (1998),,Scarface,"(Bun b)
I always wanted to be the biggest man in somethin'
Had to find my place
But the world can leave a foul taste on the tongue
Had to dodge a case
Had to dodge a bullet
And the nigga that tried to pull it
The streets is throwed
If I don't get lean and blowed everyday
I feel just like I'ma explode on overload and overdrive
All my life this drive I tried
I seen a lot of good niggas die
Cause somebody hated somebody lied or somebody snitched
Or somebody's a bitch
I wish I could change the past
But I gots to live in the present and pray
That tomorrow this shit don't last, I'm livin' to fast
Shit, my momma asked me who I was like she ain't know me
But, to tell the truth I didn't know myself
I found out she had to told me
Just to show me just how good I had it
I guess I couldn't see it
Mild-mannered I just couldn't be it
But that was just the way we used to g it
One of the wrongest niggas I see
Or one of the strongest niggas I know
Walkin' on my tippy-toe cause the life I live ain't long and I know
So I put weed in the bong and I blow
Stay cool calm and collected a neglected
Child that grew into a man that's widely respected
Too real
I feel no pain
I can't complain
Stuck in the game
Tryin' to maintain
'Cause I'm so real
(Pimp c)
We blow big everyday
But that don't stop our pain
Or bring back our homeboys that we done lost off in this dirty game
Got niggas doin' 40
When you 25 that's life
I guess when your career is sellin dope somebody got to pay the price
These bitch ass niggas shife
Niggas might snitch out they momma
That's why me and leroy watch stay strapped and ready for all drama
'Cause we ain't promised tomorrow
But nigga you promised to die
Nigga can't you see you gettin' to high trippin' of that potent fry
At night I talk to God and try to understand
How people can worship false prophets and say prayers to a man
I guess they already gone, ain't nothin' gone bring them back
So I just say thanks for what I got and blow on indo sacks
I still love my piece of change, wood grain and big head ones
But I had to realize in life everything ain't always fun
I guess that's true for some
But them hoes will never win
Out here just hustlin and grindin
Tryin' to change from niggas to men
(3-2)
My nigga you a ho to me
Boy you done went off on me
Runnin' round with the fakin and hatin'
I'ma blast if you run up on me
I'ma do my dirt by my lonely so that nobody can snitch
This matter coulda been resolved
If you woulda came clean and paid my shit
See niggas disrespect the game but boy you'll never last
Pullin that ho shit sellin your partner out for a piece of ass
And fool you claim you real but really need to be shot up
No respect for your family that's dead
Don't write yo peoples locked up
Damn I miss my dog he was hog to this game
Unlike bustas these days that talk down on your name
You boys is funny
I'm bout my money
And oh so true
Mr. 3-2 when I never trusted you
I'm too real"
4,A Minute To Pray And A Second To Die,1991,Mr. Scarface Is Back (1991),,Scarface,"(Scarface)
Life goes on in the streets of my hood when you die
But some cry, and gets by, while others choose to wonder why...
His life was took at such an early age
A young nigga who lived in a rage died by the gauge
He used to hustle on the street corners
His mom would always beg him to quit, but he didn't wanna
As he got older, he got even worse
Till a real nigga showed him the purpose of a hearse
A cold night in his hood, he had a tangle
The brother he was squabblin with, had broke his ankle
Laid him out in the driveway
Some people knew he wouldn't survive, but hey
I ain't the one to speak up on another's
All I can do is try to open his eyes and help the brother
He chose the wrong way and that's the route he took
Born and brought up as an angel but he died as a crook
He had a baby that he couldn't raise
And she will never see her father again, 'cause he's in a grave
I always think about ??
""My daddy was a dopeman, so I'ma be a dope dealer""
How will the family explain it?
""My daughter had a baby for a 'caine head!""
He ain't around to see her walk
Dry her eyes when she cries, pick her up when she falls
Just the thought of a kid livin' fly fucks me up
When his girl has to raise a BASTARD child
It gets deeper, he used to punch her and beat her
She was loyal to his ass but accused as a cheater
She had a good deck but she picked the wrong card
Had a kid, now she's realizin life is hard
A big time dope dealer's all she wanted
Who drove a Jag or a Benz so she could flaunt it
The situation's got me guessin...
But the answer remains to be a question
He lived his life in a lie
I guess you only get a minute to pray, and a second to die
...
(Scarface)
It was crazy how it happened
Some niggaz rolled by in the Riviera cappin
All I could see was a pistol spittin' rounds
And the boy was just screamin as he fell to the ground
A woman yelled - get an ambulance
But I knew he was dead, he didn't stand a chance
You shoulda seen him, he was scared
A bullet goes to his chest, and one to his head
He just laid there in silence...
And all I heard was the sirens
Paramedics pulled up...
Followed by a law man and then came a firetruck
Put his ass on the stretcher...
But if he survives, I'm willin' to betcha
He'll be out for revenge
They patched him up within a week he was back at it again
Went to his brother on the Northside
Grab your shit, it's a hit, we're gonna take a long ride
Packed it up in the trunk
AK-47, M-11 and a pump
Rolled by ?? on Scott Street
School was lettin out,
""Yo you ain't gonna shoot yet?"" ""WATCH ME!""
Opened his trunk and grabbed a shotgun...
... He shot him
Put his tooly on the front seat
Continued his mission, as he headed down the street
The kids was just starin' at each other
J.D. rolled by and smoked black's brother
Reached in his coat and grabbed a 'port
Full speed down Reed, shot his mom on the porch
On his way down Cullard
His brother was just dazed in a shock, ""Why you do it?""
""Why you shot his moms Jay? Shit""
""Hehehehehe... hah man fuck that bitch""
Went to the store to use the payphone
Called up Mack, ""Aiyyo J.D. homey""
Hung it up and rolled down Dagger
Headin for the nigga he was after
By the time he arrived at the scene
Malcolm was ready for anything
He tried to sneak around the back way
Never thought of bein taken out on that day
Black boy, black coat
Stood around the corner as he passed slit his throat
He didn't fall so he fired
One to the middle of his skull, he's expired
A whole army came out
Twenty-seven niggaz all strapped out of one house
That how it happens in the acre
One nigga died in the park in the paper
Shit gets deeper but why?
I guess you only get a minute to pray,
And a second to die"
5,All Bad,2015,Deeply Rooted (2015),,Scarface,"(Scarface)
Sunday morning I'm off at church
Sinnin' throughout the week, hustlin' every day
Gettin' it as we speak, listen to preacher preach
Choir singing the song, annie clapping her hands
Momma singing along, I'm impatient I wanna leave
Can't let my Momma see, I ain't listening to the word
Not like I don't believe, but I'm trippin' nobody perfect
To speak it wouldn't worth it for a person to be so Christ like
But I swear, I heard him cursin'
Let him without no sins cast the first stone
But I am so not him so let me go on on
Get home and he will find his hat on
Who's family when this all went on
Come on, let's see, some laughs, then we
Can do the same damn thing again next week
I love it when It happens like that
I smile 'cause it's not all bad
(G.I.)
You know they say that no one's perfect
That's why we struggle every day
Just know that every single day is a blessing
I'm just tryna find my way
I keep my head above water (keep my head above water)
Tell me what's the use of lookin' sad
Keep your head above water
Cause it ain't all bad
(Scarface)
Monday mornin' it's back to business
Cash the motivation, cops steady watchin'
Plottin' and waiting patient
Yeah I been thinkin' lately
Prayin' on even maybe
Probably best if I left it
The stress will drive you crazy if you let it
The penitentiary is where were headed
Designed for downfalls and some still don't get it
And yeah I might have said it way back and got sweated by
The same ones that hittin' it now but no credit came to me
If you can see the things I see
Then you could point your fingers at the blame not me
Ashamed how we can't stand one another
We hate the idea of a unified young brother so we suffer
But I adapt 'cause I'm a hustler
I still stay strapped with the muffler
I'm ten toes trapped in the struggle cause
I'm what the hood made motherfucker what
(G.I.)
You know they say that no one's perfect
That's why we struggle every day
Just know that every single day is a blessing
I'm just tryna find my way
I keep my head above water (keep my head above water)
Tell me what's the use of lookin' sad
Keep your head above water
Cause it ain't all bad
(Scarface)
As solid these niggas come, realist they ever made
Money is not important it's livin' it how you say
Picture back in the day, me moving a brick a week
Murdered you if I had to nigga I'm from the streets
And out here were playing for keeps, speak and your getting froze
Neck gettin' wrapped in sheets, sneakers will be exposed
This bullet here for your soul
Bitches is just for sex, that said I could jack my dick
She don't deserve respect, I'm knowin' my niggas feel it
Nothin' is fabricated authentic as I can say it
The only way I play it, this is for Curtis Davis
Mothers of fallen soldiers, Children of murdered fathers
Fathers out on the corners
Corners I'm standing on and I love 'em without a reason
Feelin' they aid the bleedin' they made me I'm never leavin'
Though the looks can look deceiving
Believe me y'all it might sound sad
But trust me dog it's not all bad
(G.I.)
You know they say that no one's perfect
That's why we struggle every day
Just know that every single day is a blessing
I'm just tryna find my way
I keep my head above water (keep my head above water)
Tell me what's the use of lookin' sad
Keep your head above water
Cause it ain't all bad"
6,And Yo,2000,The Last of a Dying Breed (2000),,Scarface,"(Redman)
I got a headache this big...
Word up... word up... word up...
It's kinda hot in here
Haha (word up) Brick City (word up)
Funk Doc (word up) Scarface, yo yo
It can't be!
P-P-P, knuckleheads on parole without a GED
BBC, abroad, goldenrods out the fo'
(Bla bla...) I strip ya down to ya optimo, cigars
I pull cards like Vegas
Clap my hands then walk away from the table with ya payment
(How I'm paid?) Niggaz are barely a village
I spit with a foul mouth like Terrance and Phillip
A man or gorilla (ah ah) my cap toot back like Fred
So white bitches jump on my +Limp Bizkit+ and yell
""You niggaz know you can't fuck around""
Haha yeah, you see me, you be duckin up and down
(Yo yo yo) Super Lex, cop a thing-thing
Guzzle it down with two bottle of Ginseng
Fuck ya brains out hold when Al Green sings
When your out cold, bitch steal ya bling bling
You died for ya mom and pop, don't sweat it
I got the next bitch rockin' ya birthday present
News at 11, Scarface and Doc
From Bricks to South Park we say, ""FUCK THE COPS!""
(Hook: Redman)
Yo, you niggaz know you can't fuck around
You niggaz know you can't fuck around
You see me, you be yuckin duckin up and down
What, these niggaz know they can't fuck around
What, you niggaz know you can't fuck around
You see me in the streets, you be duckin up and down
Nigga, you niggaz know you can't fuck around
Yo, you niggaz know you can't fuck around
(Scarface)
As I, bring it to ya one more time
From a state where we stole weight, and dough mind dine
And we don't tote six-shooters, we tote glock nines
And we don't smoke a peace pipe, we smoke fat dimes
It's a place where it's a common site to see the 5-0
Hit the other side of sixteen and getcha mind blown
Fo sho', it's a different vibe from being downtown
Then when ya come into the ghetto and ya can't come back out
I seen the ghetto shut down, seen niggaz shot up
Seen niggaz get knocked the fuck out and never got up
The neighborhood paralyzed, crack drive-bys
It's evident we hurt, you ignored our cry
On the outside the ghetto just another mindstate
And import more minorities to help the crime rate
I ain't lookin' for a job, fuck workin the part-time
When we could come up on some dough, with good combs and slang dimes
I see this all the Goddamn time - it's fucked up and it's the truth
Nevermind the shooter on the roof
It's a war goin' on right here, where we at
I can't complain about what I can't change, so why dap?
Dropped outta high school in tenth grade so I rapped
But still, can't seem to get this monkey off my back
Fuck it, I pulled a few moves and ride for the streets
And when I start to feel like this, don't fuck with me!
(Young Noble)
Yo, Young Noble Outlaw, spittin' shit with 'Face and Red
Bear looped out flows and you can taste the wet
Place ya bet, young nigga ace the test
You say Nob' got a old soul, blame the vets
Flurp shit from the earth bitch, cradle to grave
Burnt shit from the fingertips, able to spray
Nigga ya mind playin' tricks on you
Ya drew down, but ya nine won't spit for you
And ain't nobody got no hostle clips for you
You in the mix but ain't nobody doin' shit for you
It's gon' be Hell for hustler, while your neck spoil you
With the same clip you had last week
And niggaz know I know the real, that's why the fag don't speak
And I ain't even peak yet, without the heat yet
Holla my street yet, 'cause I be the beef yet
I'm hittin these niggaz hard, I ain't even eat yet
Or felt defeat yet, I melt the weak yet
Lyrical breathe death - we thugs nigga what
We take slugs to the gut
Patch 'em up, hit the Bricks, it's time for our lunch
Outlawz, Dirty Mob motherfucker!"
7,Anything,2015,Deeply Rooted (2015),,Scarface,"For a dolla' bill people will do anything
They'd rob and steal for a dolla' bill, any will
Let's go sit back and let the beat ride a lil' bit
Let a m.f hear what is supposed to sound like ya' dig
Yeah I'm from around the way, I slung about a oz a day
I'm living proof you ain't got no excuse
If it was there, it ain't got shit to lose
Dem' older cats would chunk a nigga fronts
Would rock it up and smoke that ish in blunts
For tennis shoes, we was getting' fools
We caught you slippin', we would get at you
With no respect, fu... a nigga set
We shot it up and murk his connects
What yours is mine for a dolla sign
I blame the grind, I was outta line
I'm reminiscing on what niggas did
For big rewards, you took a bigger risk
They say what comes around and go around
And when you least expect the ish be goin' down
Gotta' get it how I live, that's how the streets raised me
And for that paper most niggas do, anything, anything
A silent dude, so that's how a move I'm a street made nig
Not trying to lose, so I gotta do anything, anything
They called it murder in the first degree
And it was then that it occurred to me
This was some inside ish
That was your friend got hit huh
They knew all about the stash spot
Knew where the money was and cashed out
You got the nerve to act like you don't know
When all the while you steady gettin' mo'
Just remember dude we watchin' you
I spared your life they day they shot at you
'Cause if I didn't, they was coming back to finish off yo a
You a walkin' dead and it's a fact
You slimey niggas play the game wrong
Get popped, can't do they time so they sang songs
I turned the game on Watch the Nicks play
I sent them shottas at you're a 'cause u a b made nigga
Gotta' get it how I live, that's how the streets raised me
And for that paper most niggas do, anything, anything
A silent dude, so that's how a move I'm a street made nig
Not trying to lose, so I gotta do anything, anything
Real nigga in your presence
Money couldn't change me past or the present
Homey I'm the essence Tote a smith and western
Eyes hella tiny in the hood is where you find me
Out here with the grimey b wanna come up
Niggaa slangin'Snow packs, nose running from 'em
Let you get your mind right, money on that weed though
Baby on them molly whops blinded by the weed smoke
We come from them streets ho, I stay on that ignant' ish
Ain't nothing 'bout week ho
Always game to stomp a bi and stomp a bi...
And stomp a bi got super boxing' game
So I prefer to punch a bitch mission accomplished
Put me up against whatever I am busting it
A nucca's born hustlin' and tustlin and struggling and musclin'
Just making you aware who you fucking with"
8,Big Dogg Status,2007,Made (2007),,Scarface,"(Verse: Scarface)
Young Face slangin, Ya Ya Ya
Heavyweight, Got a bad bitch in every state
On the grind, nonstop till I touch this cake
Mark ass niggas, stay the fuck up out my way
I be true O.G., you can quote what I say
I'm a H-town nigga from around the way
Southside, ridin' dirty like I'm UGK
Asshole by nature like my name was Tre
And I don't gangbang, I control the Game
What I'm representin' here's puttin' holes in brains
Oh, I say the same thing till I'm old and grey
For I falloff and rap about my clothes and chains
Grippin' grain and poppin' trunks, Dawg that ain't me
These elbows hit the scene back in '83
I stay street with it, dun asked that
You can find me in your hood pumpin' monster crack
I rollover rodents with rims on em
Sniffing out a rat, I expose them and then bend on em
I lotta bitches but they claiming they O.G.s
A straight up pussy, he claims he knows me
See I puttin' out these VVdees
Let my shit hit the streets, he got to squat to pee
Got them eggs on these beams, so they watchin' me
Might trap for a rat, pussy watch and see
I been straight for a long time
Gettin' checks for a long time
Gettin' Jake for a long time
E&J for a long time
Nigga, try to get like me
Been a G, for a long time
Been in the streets, for a long time
Toting heat, for a long time
Nigga, try to get like me
I got Big Dogg Status, I got Big Dogg Status
I got Big Dogg Status, I got Big Dogg Status
I got Big Dogg Status, I got Big Dogg Status
I got Big Dogg Status, I got Big Dogg Status
I came here to exercise my game
Swear love to the hood
That's how I do my thang
Smoke weed with my hommies
Bar-b-q them wangs
Sip hennisy and coke
See I don't fuck with drank
Hold out bill ski
Because that shit ain't cool
We just drunk a mad dog before we went to school
Way up back then I was smashing boys
Jump wrong you saw a nigga get his ass destroyed
Same shit right now
I demand respect
And if I slap one hoe than a man was next
I'm kick door robber
A hot shot driver
A crack rock slanging mother fucker for a dollar
If there's shit there to be made
Then I'm finna make it
But if ther ain't no way
Than I'm believe take it
Cause a nigga with no hustle is his worth is (gay?)
And a bitch like this is even worse then that
I'm a fool bullshiting what this game can cost
And if a nigga can't maintain than man he's lost
Being heard and they fuck nerds in jail I heard
And as a nigga I come in here with my balls word
I been straight for a long time
Gettin' checks for a long time
Gettin' Jake for a long time
E&J for a long time
Nigga, try to get like me
Been a G, for a long time
Been in the streets, for a long time
Toting heat, for a long time
Nigga, try to get like me
I got Big Dogg Status, I got Big Dogg Status
I got Big Dogg Status, I got Big Dogg Status
I got Big Dogg Status, I got Big Dogg Status
I got Big Dogg Status, I got Big Dogg Status
Man on second thought the story is about boys
Running round talking bout how they ride these cars
I was sitting in these Benz at the age of 19
When I was 21 I had a yellow ferrari
22 I was portioned with a top at back
23 in a rose with the pipe to match
24 I wasn't tripping what I came up in
I was focussing on how to be like james back then
Wonder how respected was the life I chose
Being famous wasn't nothing I just liked my dough
I was living in the fast lane
Man for sho
Short temper quick to up let this thing unload
So if I had a problem with ya
Use a blanket no
Shaw the message then you see the nigga's brain exploads
So if you see a nigga chunk da doose as you see me ride by
I been straight for a long time
Gettin' checks for a long time
Gettin' Jake for a long time
E&J for a long time
Nigga, try to get like me
Been a G, for a long time
Been in the streets, for a long time
Toting heat, for a long time
Nigga, try to get like me
I got Big Dogg Status, I got Big Dogg Status
I got Big Dogg Status, I got Big Dogg Status
I got Big Dogg Status, I got Big Dogg Status
I got Big Dogg Status, I got Big Dogg Status"
9,Big Dogg Status (Remix),2007,Made (2007),,Scarface,"(Scarface)
Ho! It's young 'Face, slanging yay everyday
Heavyweight, got a bad bitch in every state
On the grind non-stop till I touch this cake
Mark ass niggas stay the fuck up out my way
I'm a true OG, you can quote what I say
I'm an H-town nigga from around the way
Southside, Ridin' Dirty like I'm UGK
Asshole by nature like my name was Trae
And I don't gangbang, I patrol the game
And what I'm representing here is putting holes in brains
Before I say the same thing I'll be old and grey
'Fore I fall off and rap about my clothes and chains
Gripping grain and popping trunks, dog but that ain't me
These elbows hit the scene back in eighty-three
I stay street, when it's done, that's that
You could find me in your hood pumping monster crack
I roll over rodents in Rovers with rims on 'em
Sniffing out a rat I expose him and then dome him
A lot of nigga's bitches, they claim that they OGs
A straight up pussy and claims that he knows me
You see I, putting out these DVDs
Now my shit done hit the streets, he gots to squat the pee
Got the Feds on his team so they watching me
Mousetrap for a rat, pussy watch and see
[Hook - Scarface] + {UTP}
I've been straight {for a long time}
Getting cake {for a long time}
E&J {for a long time}
Nigga {try to get like this!}
I've been a G {for a long time}
In the street {for a long time}
Toting heat {for a long time}
Nigga {try to get like this!}
{I got big dog status} *8X*
(T.I.)
Hey I'm they fave
They say fresher to bump bapes, but I ain't scared
It's my pleasure to tell it right, don't think I ain't said
'Cause they got prices on my head homie, I don't slip
Clips long as giraffe necks, that's why I don't trip
Just open up and let it rip, ain't nothing new to a G
Hey I ain't worried about these niggas till they shooting at me
My partner died, daughter too, give excuses to me
Still a buster ass rapper I'm refusing to be
Scarface seem to say I'm the king, you a fool if you think
There's another young new rapper dude out there cooler than me (Haha)
I choose in the V, brand new with the beat
I live a real life like I say I do in the beat
Yo, true indeed, I do indeed
Do it for the OG's and the true MC's
Them busters say this year I got brand new and it's all phat
Cut that fighting in the club, I'm done with all that
Nigga ass out of line, well his ass getting wet
Give a west side nigga ten stacks, that's that
Oh, or maybe less as a matter of fact
Nigga be testing the professor, what's the matter with cats?
(Lil Wayne)
I've been doing this shit, nigga who are you?
Lil nigga, I done seen keys bigger than you
Lil nigga, you ain't know shit
Cut off a nigga head, make him suck his own dick
How the game go? Money over bitches and flowers over snitches
Money over bitches and flowers over snitches
Mr., Mr. Scarface, pistols into yard fish
Mr., Mr. Scarface, pistols into yard fish
Yeah!
(Scarface)
I came here to exercise my game
Spread love to the hood is how I do my thang
Smoking weed with my homies, barbeque them wangs
Sip Hennesey and coke 'cause I don't fuck with drank
Don't pop pills either cause that shit ain't cool
We just drunk a mad Dom 'fore we went to school
Flick off, back then I was smashing boys
Jump wrong, you saw a nigga get his ass destroyed
Same rules right now, I demand respect
And if I slapped one hoe, then her man was next
I'm a kick door robber, a hot-shot driver
A crack rock slanging motherfucker for a dollar
If you dare to be laid, then off in the Lincoln
But if it ain't no way, then believe I'm finna take it
Cause a nigga with no hustle, it ain't worth this G
And a bitch like this is even worse than that
I've been good at bullshitting but this game can cost
And if a nigga can't maintain, mayne he lost
He a nerd, and they fuck nerds in jail I heard
And as a nigga, I come in here with my balls and my word"
